method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,eps_optimal_mass,normalized_regret,random_ref,n_test,wall_s,requested,torch_version,cuda_available,mps_available,mps_fallback,resolved_device,run_tag,git_commit,hostname,command,dataset,order
seqft,0,1,1,T1_renal,1,0.8333,0.8333,1.0,0.0,0.0151,0.0227,0.4835,0.5333,6,2.9,cuda,2.4.1+cu124,True,False,1,cuda,v2_pilot40_rehearsal_cuda_20260815T120941Z,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --smoke --device cuda --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_rehearsal_cuda_20260815T120941Z/results --tag v2_pilot40_rehearsal_cuda_20260815T120941Z --resume,pilot40,main
seqft,0,1,2,T1_renal,1,0.8333,0.8333,0.0,0.0212,0.0354,0.0221,0.4926,0.5333,6,3.2,cuda,2.4.1+cu124,True,False,1,cuda,v2_pilot40_rehearsal_cuda_20260815T120941Z,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --smoke --device cuda --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_rehearsal_cuda_20260815T120941Z/results --tag v2_pilot40_rehearsal_cuda_20260815T120941Z --resume,pilot40,main
seqft,0,1,2,T2_breast,2,1.0,1.0,1.0,0.0,0.0322,0.0421,0.4131,0.7667,6,3.2,cuda,2.4.1+cu124,True,False,1,cuda,v2_pilot40_rehearsal_cuda_20260815T120941Z,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --smoke --device cuda --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_rehearsal_cuda_20260815T120941Z/results --tag v2_pilot40_rehearsal_cuda_20260815T120941Z --resume,pilot40,main
ours,0,1,1,T1_renal,1,0.8333,0.8333,1.0,0.0,0.0151,0.0227,0.4835,0.5333,6,0.3,cuda,2.4.1+cu124,True,False,1,cuda,v2_pilot40_rehearsal_cuda_20260815T120941Z,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --smoke --device cuda --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_rehearsal_cuda_20260815T120941Z/results --tag v2_pilot40_rehearsal_cuda_20260815T120941Z --resume,pilot40,main
ours,0,1,2,T1_renal,1,0.8333,0.8333,0.5,0.0055,0.03,0.0256,0.4805,0.5333,6,0.7,cuda,2.4.1+cu124,True,False,1,cuda,v2_pilot40_rehearsal_cuda_20260815T120941Z,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --smoke --device cuda --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_rehearsal_cuda_20260815T120941Z/results --tag v2_pilot40_rehearsal_cuda_20260815T120941Z --resume,pilot40,main
ours,0,1,2,T2_breast,2,0.6667,0.6667,1.0,0.0,0.0079,0.0428,0.4076,0.7667,6,0.7,cuda,2.4.1+cu124,True,False,1,cuda,v2_pilot40_rehearsal_cuda_20260815T120941Z,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --smoke --device cuda --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_rehearsal_cuda_20260815T120941Z/results --tag v2_pilot40_rehearsal_cuda_20260815T120941Z --resume,pilot40,main
