method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,eps_optimal_mass,normalized_regret,random_ref,n_test,wall_s,requested,torch_version,cuda_available,mps_available,mps_fallback,resolved_device,run_tag,git_commit,hostname,command,dataset,order
seqft,4,1,1,T1_renal,1,0.6667,0.6667,1.0,0.0,-1.0558,0.5853,0.1498,0.8,6,3.9,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s4,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 4 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s4 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_4 --resume,pilot40,main
seqft,4,1,2,T1_renal,1,0.8333,0.8333,0.0,0.1501,0.2224,0.5084,0.1635,0.8,6,5.1,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s4,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 4 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s4 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_4 --resume,pilot40,main
seqft,4,1,2,T2_breast,2,0.8333,0.8333,1.0,-0.0,0.3064,0.5529,0.1456,0.7667,6,5.1,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s4,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 4 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s4 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_4 --resume,pilot40,main
seqft,4,2,1,T1_renal,1,0.6667,0.6667,1.0,0.0,-0.8416,0.6638,0.1212,0.7,6,2.2,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s4,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 4 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s4 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_4 --resume,pilot40,main
seqft,4,2,2,T1_renal,1,0.8333,0.8333,0.0,0.0762,0.2661,0.6527,0.1191,0.7,6,4.3,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s4,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 4 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s4 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_4 --resume,pilot40,main
seqft,4,2,2,T2_breast,2,1.0,1.0,1.0,0.0,0.3575,0.5447,0.1479,0.8,6,4.3,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s4,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 4 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s4 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_4 --resume,pilot40,main
seqft,4,4,1,T1_renal,1,0.8333,0.8333,1.0,0.0,-0.0401,0.5033,0.138,0.7,6,4.0,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s4,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 4 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s4 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_4 --resume,pilot40,main
seqft,4,4,2,T1_renal,1,0.8333,0.8333,0.0476,0.0333,0.1355,0.5011,0.1385,0.7,6,8.0,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s4,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 4 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s4 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_4 --resume,pilot40,main
seqft,4,4,2,T2_breast,2,0.8333,0.8333,1.0,-0.0,0.0699,0.4081,0.1789,0.8667,6,8.1,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s4,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 4 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s4 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_4 --resume,pilot40,main
ewc,4,1,1,T1_renal,1,0.6667,0.6667,1.0,0.0,-1.0558,0.5853,0.1498,0.8,6,1.3,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s4,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 4 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s4 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_4 --resume,pilot40,main
ewc,4,1,2,T1_renal,1,0.8333,0.8333,0.0,0.1216,0.2873,0.5311,0.1591,0.8,6,3.5,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s4,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 4 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s4 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_4 --resume,pilot40,main
ewc,4,1,2,T2_breast,2,0.8333,0.8333,1.0,-0.0,0.3064,0.5796,0.1376,0.7667,6,3.5,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s4,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 4 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s4 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_4 --resume,pilot40,main
ewc,4,2,1,T1_renal,1,0.6667,0.6667,1.0,0.0,-0.8416,0.6638,0.1212,0.7,6,1.6,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s4,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 4 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s4 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_4 --resume,pilot40,main
ewc,4,2,2,T1_renal,1,0.8333,0.8333,0.0,0.0668,0.0346,0.6559,0.1204,0.7,6,4.0,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s4,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 4 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s4 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_4 --resume,pilot40,main
ewc,4,2,2,T2_breast,2,0.8333,0.8333,1.0,0.0,0.1936,0.5558,0.1448,0.8,6,4.0,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s4,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 4 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s4 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_4 --resume,pilot40,main
ewc,4,4,1,T1_renal,1,0.8333,0.8333,1.0,0.0,-0.0401,0.5033,0.138,0.7,6,3.3,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s4,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 4 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s4 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_4 --resume,pilot40,main
ewc,4,4,2,T1_renal,1,1.0,1.0,0.0476,0.0382,0.1558,0.505,0.137,0.7,6,11.2,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s4,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 4 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s4 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_4 --resume,pilot40,main
ewc,4,4,2,T2_breast,2,0.6667,0.6667,1.0,-0.0,-0.0108,0.4048,0.1814,0.8667,6,11.2,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s4,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 4 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s4 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_4 --resume,pilot40,main
lwf,4,1,1,T1_renal,1,0.6667,0.6667,1.0,0.0,-1.0558,0.5853,0.1498,0.8,6,1.3,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s4,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 4 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s4 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_4 --resume,pilot40,main
lwf,4,1,2,T1_renal,1,0.6667,0.6667,0.0,0.0638,0.4011,0.5372,0.157,0.8,6,2.7,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s4,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 4 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s4 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_4 --resume,pilot40,main
lwf,4,1,2,T2_breast,2,1.0,1.0,1.0,0.0,0.6056,0.5414,0.1455,0.7667,6,2.7,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s4,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 4 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s4 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_4 --resume,pilot40,main
lwf,4,2,1,T1_renal,1,0.6667,0.6667,1.0,0.0,-0.8416,0.6638,0.1212,0.7,6,2.2,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s4,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 4 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s4 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_4 --resume,pilot40,main
