method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,eps_optimal_mass,normalized_regret,random_ref,n_test,wall_s,requested,torch_version,cuda_available,mps_available,mps_fallback,resolved_device,run_tag,git_commit,hostname,command,dataset,order
seqft,3,1,1,T1_renal,1,0.8333,0.8333,1.0,0.0,-0.583,0.5312,0.2163,0.5667,6,3.7,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s3,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 3 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s3 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_3 --resume,pilot40,main
seqft,3,1,2,T1_renal,1,0.6667,0.6667,0.1667,0.1042,-0.7838,0.4972,0.2253,0.5667,6,4.9,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s3,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 3 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s3 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_3 --resume,pilot40,main
seqft,3,1,2,T2_breast,2,0.6667,0.6667,1.0,-0.0,0.0783,0.6586,0.1167,0.7,6,4.9,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s3,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 3 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s3 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_3 --resume,pilot40,main
seqft,3,2,1,T1_renal,1,0.8333,0.8333,1.0,-0.0,-0.3331,0.5213,0.1974,0.7667,6,1.9,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s3,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 3 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s3 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_3 --resume,pilot40,main
seqft,3,2,2,T1_renal,1,0.8333,0.8333,0.0556,0.0453,-0.3031,0.5186,0.1994,0.7667,6,3.6,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s3,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 3 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s3 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_3 --resume,pilot40,main
seqft,3,2,2,T2_breast,2,0.8333,0.8333,1.0,0.0,0.2641,0.5992,0.1126,0.7667,6,3.6,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s3,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 3 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s3 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_3 --resume,pilot40,main
seqft,3,4,1,T1_renal,1,0.8333,0.8333,1.0,-0.0,-0.141,0.3021,0.2492,0.6667,6,3.1,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s3,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 3 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s3 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_3 --resume,pilot40,main
seqft,3,4,2,T1_renal,1,0.8333,0.8333,0.0238,0.0454,-0.2153,0.3082,0.2513,0.6667,6,7.1,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s3,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 3 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s3 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_3 --resume,pilot40,main
seqft,3,4,2,T2_breast,2,0.8333,0.8333,1.0,0.0,0.0958,0.487,0.1609,0.8333,6,7.1,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s3,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 3 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s3 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_3 --resume,pilot40,main
ewc,3,1,1,T1_renal,1,0.8333,0.8333,1.0,0.0,-0.583,0.5312,0.2163,0.5667,6,1.2,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s3,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 3 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s3 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_3 --resume,pilot40,main
