device = cuda | torch = 2.4.1+cu124 | MPS fallback = 1
λ_ewc = 100.0
[seqft seed4 K=1] AA=0.833 T1(bal=0.833, jac=0.00, kl=0.150) (12s)
[seqft seed4 K=2] AA=0.917 T1(bal=0.833, jac=0.00, kl=0.076) (16s)
[seqft seed4 K=4] AA=0.833 T1(bal=0.833, jac=0.05, kl=0.033) (24s)
[ewc seed4 K=1] AA=0.833 T1(bal=0.833, jac=0.00, kl=0.122) (28s)
[ewc seed4 K=2] AA=0.833 T1(bal=0.833, jac=0.00, kl=0.067) (32s)
[ewc seed4 K=4] AA=0.833 T1(bal=1.000, jac=0.05, kl=0.038) (43s)
[lwf seed4 K=1] AA=0.833 T1(bal=0.667, jac=0.00, kl=0.064) (46s)
[lwf seed4 K=2] AA=0.750 T1(bal=0.833, jac=0.00, kl=0.022) (51s)
[lwf seed4 K=4] AA=0.667 T1(bal=0.833, jac=0.10, kl=0.011) (60s)
[replay seed4 K=1] AA=0.917 T1(bal=0.833, jac=0.17, kl=0.119) (63s)
[replay seed4 K=2] AA=0.750 T1(bal=0.833, jac=0.22, kl=0.033) (69s)
[replay seed4 K=4] AA=0.667 T1(bal=0.667, jac=0.07, kl=0.020) (78s)
[distill seed4 K=1] AA=0.917 T1(bal=0.833, jac=0.33, kl=0.054) (82s)
[distill seed4 K=2] AA=0.750 T1(bal=0.667, jac=0.11, kl=0.009) (87s)
[distill seed4 K=4] AA=0.750 T1(bal=0.833, jac=0.15, kl=0.005) (98s)
[ours seed4 K=1] AA=0.833 T1(bal=0.667, jac=0.17, kl=0.047) (100s)
[ours seed4 K=2] AA=0.833 T1(bal=0.833, jac=0.17, kl=0.010) (105s)
[ours seed4 K=4] AA=0.750 T1(bal=0.833, jac=0.13, kl=0.006) (116s)
[joint seed4 K=1] AA=0.833 T1(bal=0.667, jac=0.33, kl=0.060) (118s)
[joint seed4 K=2] AA=0.917 T1(bal=0.833, jac=0.22, kl=0.021) (123s)
[joint seed4 K=4] AA=0.833 T1(bal=1.000, jac=0.07, kl=0.013) (134s)
done -> /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_4/cl_main_pilot40_main_v2_pilot40_main_cuda_20260815T122732Z_main_s4.csv
