method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
ours_uniform,3,1,1,esca,1,0.9375,0.9333,1.0,0.0,0.0048,0.9071,15,8.4,can,main
ours_uniform,3,1,2,esca,1,0.9286,0.9333,0.2,0.0494,0.6107,0.9071,15,72.1,can,main
ours_uniform,3,1,2,lung,2,0.8647,0.8632,1.0,-0.0,-0.0792,0.7535,95,72.7,can,main
ours_uniform,3,1,3,esca,1,1.0,1.0,0.2667,0.1146,0.6615,0.9071,15,120.6,can,main
ours_uniform,3,1,3,lung,2,0.8463,0.8421,0.3684,0.0459,-0.2085,0.7535,95,121.2,can,main
ours_uniform,3,1,3,rcc,3,0.9898,0.9868,1.0,-0.0,0.875,0.8533,76,121.7,can,main
ours_uniform,3,1,4,esca,1,1.0,1.0,0.0667,0.1424,0.6608,0.9071,15,181.1,can,main
ours_uniform,3,1,4,lung,2,0.8456,0.8421,0.1895,0.0585,-0.1372,0.7535,95,181.7,can,main
ours_uniform,3,1,4,rcc,3,0.9713,0.9737,0.3947,0.0268,0.8535,0.8533,76,182.2,can,main
ours_uniform,3,1,4,brca,4,0.8933,0.8925,1.0,-0.0,0.2786,0.655,93,182.9,can,main
ours_uniform,3,2,1,esca,1,0.9375,0.9333,1.0,0.0,-0.1337,0.825,15,10.9,can,main
ours_uniform,3,2,2,esca,1,0.9375,0.9333,0.1111,0.0174,0.198,0.825,15,127.7,can,main
ours_uniform,3,2,2,lung,2,0.8749,0.8737,1.0,-0.0,-0.06,0.7867,95,129.0,can,main
ours_uniform,3,2,3,esca,1,1.0,1.0,0.0444,0.0294,0.3385,0.825,15,221.8,can,main
ours_uniform,3,2,3,lung,2,0.8551,0.8526,0.2,0.0186,-0.0966,0.7867,95,223.1,can,main
ours_uniform,3,2,3,rcc,3,0.9713,0.9737,1.0,-0.0,0.4135,0.8825,76,224.1,can,main
ours_uniform,3,2,4,esca,1,0.875,0.8667,0.0667,0.0366,-0.0386,0.825,15,342.4,can,main
ours_uniform,3,2,4,lung,2,0.8239,0.8211,0.1754,0.0248,-0.1417,0.7867,95,343.8,can,main
ours_uniform,3,2,4,rcc,3,0.9528,0.9605,0.1579,0.0195,0.4234,0.8825,76,344.9,can,main
ours_uniform,3,2,4,brca,4,0.9203,0.9355,1.0,0.0,0.1472,0.7233,93,346.2,can,main
