method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
seqft,0,1,1,brca,1,0.894,0.9247,1.0,-0.0,0.3002,0.642,93,41.7,can,reverse
seqft,0,1,2,brca,1,0.7564,0.8925,0.1398,0.3034,0.2307,0.642,93,74.1,can,reverse
seqft,0,1,2,rcc,2,0.9592,0.9474,1.0,-0.0,0.7981,0.889,76,74.7,can,reverse
seqft,0,1,3,brca,1,0.697,0.8602,0.0538,0.6341,0.3011,0.642,93,115.2,can,reverse
seqft,0,1,3,rcc,2,0.9509,0.9474,0.1053,0.452,0.8231,0.889,76,115.7,can,reverse
seqft,0,1,3,lung,3,0.8878,0.8842,1.0,-0.0,0.0816,0.7668,95,116.4,can,reverse
seqft,0,1,4,brca,1,0.6579,0.8602,0.086,0.3797,0.1298,0.642,93,123.6,can,reverse
seqft,0,1,4,rcc,2,0.8768,0.8947,0.0789,0.2252,0.7443,0.889,76,124.2,can,reverse
seqft,0,1,4,lung,3,0.8028,0.8,0.0947,0.3836,0.2169,0.7668,95,124.8,can,reverse
seqft,0,1,4,esca,4,0.8661,0.8667,1.0,-0.0,0.0214,0.8304,15,124.9,can,reverse
seqft,0,2,1,brca,1,0.9136,0.9247,1.0,-0.0,0.2415,0.7115,93,71.2,can,reverse
seqft,0,2,2,brca,1,0.7098,0.8495,0.0824,0.1071,0.1241,0.7115,93,127.8,can,reverse
seqft,0,2,2,rcc,2,0.9694,0.9605,1.0,-0.0,0.3719,0.9113,76,128.7,can,reverse
seqft,0,2,3,brca,1,0.8745,0.9247,0.0824,0.2204,0.2572,0.7115,93,198.5,can,reverse
seqft,0,2,3,rcc,2,0.9694,0.9605,0.1535,0.1864,0.3837,0.9113,76,199.4,can,reverse
seqft,0,2,3,lung,3,0.8762,0.8737,1.0,-0.0,0.0433,0.8119,95,200.9,can,reverse
seqft,0,2,4,brca,1,0.8218,0.9032,0.0824,0.0995,0.228,0.7115,93,212.7,can,reverse
seqft,0,2,4,rcc,2,0.9528,0.9605,0.0877,0.0855,0.4474,0.9113,76,213.6,can,reverse
seqft,0,2,4,lung,3,0.8097,0.8105,0.0982,0.1582,0.0597,0.8119,95,214.9,can,reverse
seqft,0,2,4,esca,4,0.9375,0.9333,1.0,-0.0,0.2145,0.9125,15,215.1,can,reverse
seqft,0,4,1,brca,1,0.9331,0.9247,1.0,-0.0,0.102,0.6892,93,136.4,can,reverse
seqft,0,4,2,brca,1,0.5985,0.828,0.0713,0.0436,0.0318,0.6892,93,264.1,can,reverse
seqft,0,4,2,rcc,2,0.9528,0.9605,1.0,-0.0,0.1921,0.9416,76,266.2,can,reverse
seqft,0,4,3,brca,1,0.6511,0.8495,0.1215,0.0754,0.0406,0.6892,93,433.7,can,reverse
