method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
ours_uniform,0,1,1,esca,1,0.8661,0.8667,1.0,0.0,-0.2336,0.8321,15,8.5,can,main
ours_uniform,0,1,2,esca,1,0.9375,0.9333,0.2,0.062,-0.2642,0.8321,15,73.7,can,main
ours_uniform,0,1,2,lung,2,0.8558,0.8526,1.0,0.0,-0.0571,0.7707,95,74.3,can,main
ours_uniform,0,1,3,esca,1,0.9375,0.9333,0.1333,0.0741,-0.2643,0.8321,15,123.7,can,main
ours_uniform,0,1,3,lung,2,0.8354,0.8316,0.3684,0.0384,0.0053,0.7707,95,124.4,can,main
ours_uniform,0,1,3,rcc,3,0.9694,0.9605,1.0,-0.0,0.8669,0.8722,76,124.9,can,main
ours_uniform,0,1,4,esca,1,0.875,0.8667,0.0667,0.0771,-0.3578,0.8321,15,185.7,can,main
ours_uniform,0,1,4,lung,2,0.8265,0.8211,0.3158,0.0651,-0.0017,0.7707,95,186.3,can,main
ours_uniform,0,1,4,rcc,3,0.949,0.9342,0.3947,0.0294,0.7905,0.8722,76,186.8,can,main
ours_uniform,0,1,4,brca,4,0.8151,0.8925,1.0,0.0,0.2996,0.6985,93,187.5,can,main
ours_uniform,0,2,1,esca,1,0.9375,0.9333,1.0,0.0,0.0259,0.8714,15,11.3,can,main
ours_uniform,0,2,2,esca,1,0.9375,0.9333,0.2222,0.0227,-0.0573,0.8714,15,131.0,can,main
ours_uniform,0,2,2,lung,2,0.8558,0.8526,1.0,-0.0,0.0111,0.8114,95,132.3,can,main
ours_uniform,0,2,3,esca,1,0.9375,0.9333,0.1111,0.0285,0.1967,0.8714,15,227.4,can,main
ours_uniform,0,2,3,lung,2,0.866,0.8632,0.193,0.017,0.0893,0.8114,95,228.6,can,main
ours_uniform,0,2,3,rcc,3,0.9509,0.9474,1.0,-0.0,0.3568,0.9133,76,229.6,can,main
ours_uniform,0,2,4,esca,1,0.8661,0.8667,0.1111,0.033,0.0197,0.8714,15,351.1,can,main
ours_uniform,0,2,4,lung,2,0.8143,0.8105,0.1895,0.0303,0.015,0.8114,95,352.4,can,main
ours_uniform,0,2,4,rcc,3,0.9713,0.9737,0.136,0.0166,0.4453,0.9133,76,353.5,can,main
ours_uniform,0,2,4,brca,4,0.9271,0.9462,1.0,-0.0,0.1485,0.7009,93,354.9,can,main
