method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
ours,0,1,1,esca,1,0.8661,0.8667,1.0,0.0,-0.2336,0.8321,15,7.6,can,main
ours,0,1,2,esca,1,0.8661,0.8667,0.2,0.0473,0.2145,0.8321,15,71.1,can,main
ours,0,1,2,lung,2,0.866,0.8632,1.0,-0.0,0.0093,0.7707,95,71.7,can,main
ours,0,1,3,esca,1,0.8661,0.8667,0.3333,0.0619,-0.6676,0.8321,15,120.8,can,main
ours,0,1,3,lung,2,0.8463,0.8421,0.3368,0.0639,-0.0159,0.7707,95,121.4,can,main
ours,0,1,3,rcc,3,0.9388,0.9211,1.0,0.0,0.7556,0.8722,76,121.9,can,main
ours,0,1,4,esca,1,0.8661,0.8667,0.1333,0.0889,-0.5915,0.8321,15,182.7,can,main
ours,0,1,4,lung,2,0.8571,0.8526,0.2737,0.084,0.0727,0.7707,95,183.7,can,main
ours,0,1,4,rcc,3,0.9101,0.8947,0.2895,0.1018,0.8194,0.8722,76,184.4,can,main
ours,0,1,4,brca,4,0.8482,0.914,1.0,-0.0,0.2104,0.6985,93,185.2,can,main
ours,0,2,1,esca,1,0.9375,0.9333,1.0,0.0,0.0259,0.8714,15,12.0,can,main
ours,0,2,2,esca,1,0.9375,0.9333,0.1556,0.0195,-0.0842,0.8714,15,136.9,can,main
ours,0,2,2,lung,2,0.8143,0.8105,1.0,-0.0,-0.0201,0.8114,95,138.2,can,main
ours,0,2,3,esca,1,0.8661,0.8667,0.0222,0.0309,-0.2126,0.8714,15,234.5,can,main
ours,0,2,3,lung,2,0.8252,0.8211,0.207,0.0276,-0.0128,0.8114,95,235.8,can,main
ours,0,2,3,rcc,3,0.9713,0.9737,1.0,-0.0,0.4289,0.9133,76,236.8,can,main
ours,0,2,4,esca,1,0.9375,0.9333,0.0444,0.0408,-0.1094,0.8714,15,355.4,can,main
ours,0,2,4,lung,2,0.8361,0.8316,0.1614,0.0535,-0.0571,0.8114,95,356.8,can,main
ours,0,2,4,rcc,3,0.9713,0.9737,0.1535,0.0225,0.4273,0.9133,76,357.9,can,main
ours,0,2,4,brca,4,0.8812,0.9355,1.0,-0.0,0.1041,0.7009,93,359.1,can,main
