K,task,lambda3_minus_lambda1
1,brca,-0.011870000000000047
1,esca,-0.025000000000000022
1,lung,0.013170000000000015
1,rcc,0.0024899999999999922
2,brca,0.024350000000000094
2,esca,0.013390000000000013
2,lung,-0.0048199999999999354
2,rcc,-0.00038000000000004697
