method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
ours_uniform,2,1,1,esca,1,0.875,0.8667,1.0,0.0,-0.2449,0.8679,15,8.5,can,main
ours_uniform,2,1,2,esca,1,0.9375,0.9333,0.4667,0.046,0.6125,0.8679,15,73.9,can,main
ours_uniform,2,1,2,lung,2,0.8545,0.8526,1.0,0.0,-0.0039,0.7639,95,74.5,can,main
ours_uniform,2,1,3,esca,1,0.875,0.8667,0.4,0.0582,0.0731,0.8679,15,123.9,can,main
ours_uniform,2,1,3,lung,2,0.866,0.8632,0.4105,0.0458,0.041,0.7639,95,124.6,can,main
ours_uniform,2,1,3,rcc,3,0.949,0.9342,1.0,-0.0,0.8151,0.8511,76,125.1,can,main
ours_uniform,2,1,4,esca,1,0.9375,0.9333,0.1333,0.1063,0.6093,0.8679,15,186.1,can,main
ours_uniform,2,1,4,lung,2,0.8667,0.8632,0.3053,0.0975,0.1112,0.7639,95,186.8,can,main
ours_uniform,2,1,4,rcc,3,0.9796,0.9737,0.2763,0.0296,0.8708,0.8511,76,187.3,can,main
ours_uniform,2,1,4,brca,4,0.776,0.8925,1.0,-0.0,0.2418,0.6575,93,188.0,can,main
ours_uniform,2,2,1,esca,1,0.9375,0.9333,1.0,0.0,0.0808,0.8393,15,11.3,can,main
ours_uniform,2,2,2,esca,1,0.9375,0.9333,0.2,0.0254,-0.0342,0.8393,15,131.7,can,main
ours_uniform,2,2,2,lung,2,0.8469,0.8421,1.0,0.0,-0.0598,0.7886,95,133.0,can,main
ours_uniform,2,2,3,esca,1,0.9375,0.9333,0.1556,0.0321,-0.14,0.8393,15,228.6,can,main
ours_uniform,2,2,3,lung,2,0.8456,0.8421,0.1754,0.0177,-0.0458,0.7886,95,229.8,can,main
ours_uniform,2,2,3,rcc,3,0.9407,0.9342,1.0,-0.0,0.3766,0.9083,76,230.8,can,main
ours_uniform,2,2,4,esca,1,0.8661,0.8667,0.1111,0.0314,-0.4955,0.8393,15,352.9,can,main
ours_uniform,2,2,4,lung,2,0.8137,0.8105,0.186,0.034,0.034,0.7886,95,354.2,can,main
ours_uniform,2,2,4,rcc,3,0.9426,0.9474,0.1754,0.0135,0.4367,0.9083,76,355.3,can,main
ours_uniform,2,2,4,brca,4,0.8873,0.914,1.0,-0.0,0.1716,0.7351,93,356.7,can,main
