method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
ours,1,1,1,esca,1,0.875,0.8667,1.0,-0.0,-0.3416,0.8018,15,7.7,can,main
ours,1,1,2,esca,1,0.875,0.8667,0.2667,0.0368,-0.0464,0.8018,15,78.2,can,main
ours,1,1,2,lung,2,0.8966,0.8947,1.0,-0.0,0.2018,0.771,95,79.0,can,main
ours,1,1,3,esca,1,0.9375,0.9333,0.3333,0.0363,0.6175,0.8018,15,136.0,can,main
ours,1,1,3,lung,2,0.8864,0.8842,0.5789,0.0291,0.1638,0.771,95,136.8,can,main
ours,1,1,3,rcc,3,0.9694,0.9605,1.0,0.0,0.859,0.9035,76,137.4,can,main
ours,1,1,4,esca,1,0.9375,0.9333,0.2,0.0751,0.6177,0.8018,15,206.7,can,main
ours,1,1,4,lung,2,0.8756,0.8737,0.3684,0.0487,0.1679,0.771,95,207.5,can,main
ours,1,1,4,rcc,3,0.9509,0.9474,0.4605,0.0195,0.8596,0.9035,76,208.0,can,main
ours,1,1,4,brca,4,0.776,0.8925,1.0,0.0,0.1738,0.68,93,208.8,can,main
ours,1,2,1,esca,1,1.0,1.0,1.0,0.0,0.3363,0.8464,15,12.2,can,main
ours,1,2,2,esca,1,0.9286,0.9333,0.2222,0.0083,0.0297,0.8464,15,146.2,can,main
ours,1,2,2,lung,2,0.8654,0.8632,1.0,-0.0,0.0611,0.7828,95,147.7,can,main
ours,1,2,3,esca,1,0.8661,0.8667,0.2222,0.0119,-0.0217,0.8464,15,255.7,can,main
ours,1,2,3,lung,2,0.8558,0.8526,0.2667,0.0199,0.0709,0.7828,95,257.2,can,main
ours,1,2,3,rcc,3,0.9611,0.9605,1.0,0.0,0.4319,0.8859,76,258.4,can,main
ours,1,2,4,esca,1,0.9375,0.9333,0.2,0.0261,0.0851,0.8464,15,395.0,can,main
ours,1,2,4,lung,2,0.8456,0.8421,0.2035,0.0323,0.0629,0.7828,95,396.4,can,main
ours,1,2,4,rcc,3,0.9713,0.9737,0.2237,0.0156,0.4289,0.8859,76,397.6,can,main
ours,1,2,4,brca,4,0.894,0.9247,1.0,0.0,0.121,0.7008,93,399.2,can,main
