order,setting_key,setting_label,K,task,A_t_t,std,n,raw_acc
main,ours_lambda0.3,Utility-Weighted Replay Distillation (λ=0.3),2,rcc,0.9574,0.011408768557561356,5,0.9578800000000001
main,ours_lambda1,Utility-Weighted Replay Distillation (λ=1.0),2,brca,0.8809400000000001,0.06813855736658943,5,0.92256
main,ours_lambda1,Utility-Weighted Replay Distillation (λ=1.0),2,esca,0.95,0.027950849718747377,5,0.94664
main,ours_lambda1,Utility-Weighted Replay Distillation (λ=1.0),2,lung,0.8506600000000001,0.005788609504881119,5,0.8484
main,ours_lambda1,Utility-Weighted Replay Distillation (λ=1.0),2,rcc,0.95906,0.011173540173105442,5,0.95792
main,ours_lambda3,Utility-Weighted Replay Distillation (λ=3.0),2,brca,0.8928,0.044840550844074144,5,0.9290200000000001
main,ours_lambda3,Utility-Weighted Replay Distillation (λ=3.0),2,esca,0.95,0.027950849718747377,5,0.94664
main,ours_lambda3,Utility-Weighted Replay Distillation (λ=3.0),2,lung,0.8468600000000001,0.024897349256497125,5,0.84422
main,ours_lambda3,Utility-Weighted Replay Distillation (λ=3.0),2,rcc,0.95868,0.011118992760137962,5,0.95526
main,replay,counterfactual-teacher replay,2,brca,0.8875400000000001,0.0783949169270559,5,0.92688
main,replay,counterfactual-teacher replay,2,esca,0.95,0.027950849718747377,5,0.94664
main,replay,counterfactual-teacher replay,2,lung,0.84886,0.013617195012189554,5,0.8463200000000001
main,replay,counterfactual-teacher replay,2,rcc,0.97258,0.010508425191245377,5,0.97104
main,seqft,sequential fine-tuning,2,brca,0.86122,0.06367230167034953,5,0.91612
main,seqft,sequential fine-tuning,2,esca,0.95,0.027950849718747377,5,0.94664
main,seqft,sequential fine-tuning,2,lung,0.87774,0.017474495700877883,5,0.87578
main,seqft,sequential fine-tuning,2,rcc,0.9648,0.00883968325224386,5,0.96316
main,distill,old-policy / policy-fidelity distillation,4,brca,0.8924,0.008496469855181066,5,0.90966
main,distill,old-policy / policy-fidelity distillation,4,esca,0.89642,0.0382061120764728,5,0.89334
main,distill,old-policy / policy-fidelity distillation,4,lung,0.85678,0.0228019078149176,5,0.8547399999999999
main,distill,old-policy / policy-fidelity distillation,4,rcc,0.95128,0.011721859920678108,5,0.95
main,ewc,EWC parameter regularization,4,brca,0.8149200000000001,0.12790444480157834,5,0.88604
main,ewc,EWC parameter regularization,4,esca,0.89642,0.0382061120764728,5,0.89334
main,ewc,EWC parameter regularization,4,lung,0.8627800000000001,0.01081605288448613,5,0.86104
main,ewc,EWC parameter regularization,4,rcc,0.93312,0.020338928192016395,5,0.93948
main,joint,joint-training reference,4,brca,0.82842,0.06529951760924425,5,0.9075200000000001
main,joint,joint-training reference,4,esca,0.89642,0.0382061120764728,5,0.89334
main,joint,joint-training reference,4,lung,0.8430799999999999,0.019523626712268347,5,0.8421200000000001
main,joint,joint-training reference,4,rcc,0.9453400000000001,0.02400651994771421,5,0.9552799999999999
main,lwf,new-state old-policy distillation,4,brca,0.85434,0.11330349950464905,5,0.89892
main,lwf,new-state old-policy distillation,4,esca,0.89642,0.0382061120764728,5,0.89334
main,lwf,new-state old-policy distillation,4,lung,0.8577400000000001,0.028187993898112,5,0.85684
main,lwf,new-state old-policy distillation,4,rcc,0.9577600000000001,0.013891292236505544,5,0.96052
main,ours_lambda1,Utility-Weighted Replay Distillation (λ=1.0),4,brca,0.88742,0.015299901960470244,5,0.92042
main,ours_lambda1,Utility-Weighted Replay Distillation (λ=1.0),4,esca,0.89642,0.0382061120764728,5,0.89334
main,ours_lambda1,Utility-Weighted Replay Distillation (λ=1.0),4,lung,0.85296,0.01515364642586069,5,0.85052
main,ours_lambda1,Utility-Weighted Replay Distillation (λ=1.0),4,rcc,0.9372,0.0312679548419784,5,0.9447599999999999
main,replay,counterfactual-teacher replay,4,brca,0.88338,0.046305582816761955,5,0.9139799999999999
main,replay,counterfactual-teacher replay,4,esca,0.89642,0.0382061120764728,5,0.89334
main,replay,counterfactual-teacher replay,4,lung,0.8433400000000001,0.0419463705223706,5,0.8420799999999999
main,replay,counterfactual-teacher replay,4,rcc,0.9372,0.04297353836955947,5,0.94474
main,seqft,sequential fine-tuning,4,brca,0.8635200000000001,0.08557459903499405,5,0.90108
main,seqft,sequential fine-tuning,4,esca,0.89642,0.0382061120764728,5,0.89334
main,seqft,sequential fine-tuning,4,lung,0.86182,0.011463289231280857,5,0.8589600000000001
main,seqft,sequential fine-tuning,4,rcc,0.94962,0.010508425191245323,5,0.95
reverse,distill,old-policy / policy-fidelity distillation,1,brca,0.89538,0.05306512037110628,5,0.92688
reverse,distill,old-policy / policy-fidelity distillation,1,esca,0.9357199999999999,0.047403501980339,5,0.9333199999999999
reverse,distill,old-policy / policy-fidelity distillation,1,lung,0.861,0.025634156900510702,5,0.8589600000000001
reverse,distill,old-policy / policy-fidelity distillation,1,rcc,0.95868,0.01111899276013797,5,0.95526
reverse,ewc,EWC parameter regularization,1,brca,0.89538,0.05306512037110628,5,0.92688
reverse,ewc,EWC parameter regularization,1,esca,0.90894,0.03910739060586883,5,0.9066600000000001
reverse,ewc,EWC parameter regularization,1,lung,0.86484,0.016466724021492553,5,0.86316
reverse,ewc,EWC parameter regularization,1,rcc,0.9542200000000001,0.028703954431401967,5,0.9473600000000001
reverse,joint,joint-training reference,1,brca,0.89538,0.05306512037110628,5,0.92688
reverse,joint,joint-training reference,1,esca,0.975,0.03423265984407289,5,0.97332
reverse,joint,joint-training reference,1,lung,0.8777200000000001,0.00895862712696541,5,0.8757999999999999
reverse,joint,joint-training reference,1,rcc,0.95996,0.01446246866893757,5,0.95264
reverse,lwf,new-state old-policy distillation,1,brca,0.89538,0.05306512037110628,5,0.92688
reverse,lwf,new-state old-policy distillation,1,esca,0.9625,0.03423265984407288,5,0.95998
reverse,lwf,new-state old-policy distillation,1,lung,0.88208,0.009328022298429588,5,0.8800000000000001
reverse,lwf,new-state old-policy distillation,1,rcc,0.9722,0.012821271387814862,5,0.9684200000000001
reverse,ours_lambda1,Utility-Weighted Replay Distillation (λ=1.0),1,brca,0.89538,0.05306512037110628,5,0.92688
