method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
ours,4,1,1,esca,1,0.9375,0.9333,1.0,0.0,0.0792,0.7982,15,7.4,can,main
ours,4,1,2,esca,1,0.9375,0.9333,0.2667,0.0576,0.0788,0.7982,15,74.0,can,main
ours,4,1,2,lung,2,0.866,0.8632,1.0,-0.0,0.023,0.7368,95,74.7,can,main
ours,4,1,3,esca,1,1.0,1.0,0.0667,0.0749,0.6492,0.7982,15,127.5,can,main
ours,4,1,3,lung,2,0.866,0.8632,0.3895,0.0497,0.0738,0.7368,95,128.2,can,main
ours,4,1,3,rcc,3,0.9407,0.9342,1.0,-0.0,0.7269,0.8931,76,128.8,can,main
ours,4,1,4,esca,1,1.0,1.0,0.0667,0.1083,0.6488,0.7982,15,195.9,can,main
ours,4,1,4,lung,2,0.8673,0.8632,0.2211,0.0811,0.1754,0.7368,95,196.7,can,main
ours,4,1,4,rcc,3,0.9694,0.9605,0.3947,0.028,0.8575,0.8931,76,197.3,can,main
ours,4,1,4,brca,4,0.9008,0.9355,1.0,-0.0,0.3239,0.6746,93,198.0,can,main
ours,4,2,1,esca,1,0.9375,0.9333,1.0,0.0,-0.1368,0.925,15,12.1,can,main
ours,4,2,2,esca,1,0.875,0.8667,0.0889,0.0283,0.1608,0.925,15,142.1,can,main
ours,4,2,2,lung,2,0.8531,0.8526,1.0,-0.0,-0.0297,0.8127,95,143.4,can,main
ours,4,2,3,esca,1,0.9375,0.9333,0.0667,0.0335,0.0861,0.925,15,240.3,can,main
ours,4,2,3,lung,2,0.8443,0.8421,0.1614,0.038,0.0354,0.8127,95,241.7,can,main
ours,4,2,3,rcc,3,0.9528,0.9605,1.0,-0.0,0.3282,0.9072,76,242.8,can,main
ours,4,2,4,esca,1,0.9375,0.9333,0.1333,0.037,0.0064,0.925,15,374.1,can,main
ours,4,2,4,lung,2,0.8756,0.8737,0.1263,0.0601,0.0378,0.8127,95,375.6,can,main
ours,4,2,4,rcc,3,0.9713,0.9737,0.1053,0.0213,0.4343,0.9072,76,376.7,can,main
ours,4,2,4,brca,4,0.7692,0.8817,1.0,-0.0,-0.0481,0.6981,93,378.0,can,main
