method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
ours,1,1,1,esca,1,0.875,0.8667,1.0,-0.0,-0.3416,0.8018,15,7.8,can,main
ours,1,1,2,esca,1,0.9375,0.9333,0.2667,0.0482,-0.18,0.8018,15,74.6,can,main
ours,1,1,2,lung,2,0.8756,0.8737,1.0,0.0,0.2057,0.771,95,75.2,can,main
ours,1,1,3,esca,1,0.9375,0.9333,0.2,0.0849,-0.1701,0.8018,15,125.9,can,main
ours,1,1,3,lung,2,0.8545,0.8526,0.4737,0.0392,0.1492,0.771,95,126.6,can,main
ours,1,1,3,rcc,3,0.9509,0.9474,1.0,-0.0,0.8665,0.9035,76,127.1,can,main
ours,1,1,4,esca,1,0.9375,0.9333,0.1333,0.1125,-0.1799,0.8018,15,191.8,can,main
ours,1,1,4,lung,2,0.8756,0.8737,0.3579,0.0594,0.1952,0.771,95,192.5,can,main
ours,1,1,4,rcc,3,0.9509,0.9474,0.3947,0.0295,0.8506,0.9035,76,193.1,can,main
ours,1,1,4,brca,4,0.7496,0.8817,1.0,0.0,0.1397,0.68,93,193.8,can,main
ours,1,2,1,esca,1,1.0,1.0,1.0,0.0,0.3363,0.8464,15,11.6,can,main
ours,1,2,2,esca,1,0.8661,0.8667,0.1778,0.0156,-0.0146,0.8464,15,135.1,can,main
ours,1,2,2,lung,2,0.8545,0.8526,1.0,-0.0,0.0484,0.7828,95,136.4,can,main
ours,1,2,3,esca,1,0.9375,0.9333,0.1111,0.0201,0.062,0.8464,15,234.7,can,main
ours,1,2,3,lung,2,0.8634,0.8632,0.2807,0.0173,0.0949,0.7828,95,236.1,can,main
ours,1,2,3,rcc,3,0.9611,0.9605,1.0,0.0,0.4238,0.8859,76,237.2,can,main
ours,1,2,4,esca,1,0.9375,0.9333,0.0667,0.0414,0.0358,0.8464,15,360.3,can,main
ours,1,2,4,lung,2,0.8334,0.8316,0.3123,0.0282,0.0811,0.7828,95,361.6,can,main
ours,1,2,4,rcc,3,0.9509,0.9474,0.1711,0.0107,0.4141,0.8859,76,362.6,can,main
ours,1,2,4,brca,4,0.894,0.9247,1.0,-0.0,0.1318,0.7008,93,363.9,can,main
