method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
ours,1,1,1,esca,1,0.875,0.8667,1.0,-0.0,-0.3416,0.8018,15,7.8,can,main
ours,1,1,2,esca,1,0.9375,0.9333,0.0667,0.0757,0.0682,0.8018,15,71.8,can,main
ours,1,1,2,lung,2,0.8756,0.8737,1.0,-0.0,0.1308,0.771,95,72.4,can,main
ours,1,1,3,esca,1,0.9375,0.9333,0.1333,0.0703,-0.2704,0.8018,15,123.5,can,main
ours,1,1,3,lung,2,0.8463,0.8421,0.4105,0.0768,0.0713,0.771,95,124.1,can,main
ours,1,1,3,rcc,3,0.9611,0.9605,1.0,0.0,0.8632,0.9035,76,124.6,can,main
ours,1,1,4,esca,1,0.9375,0.9333,0.2,0.1168,0.0216,0.8018,15,186.5,can,main
ours,1,1,4,lung,2,0.8354,0.8316,0.2211,0.1237,0.0202,0.771,95,187.2,can,main
ours,1,1,4,rcc,3,0.9796,0.9737,0.2105,0.0438,0.8897,0.9035,76,187.7,can,main
ours,1,1,4,brca,4,0.8023,0.9032,1.0,-0.0,0.2372,0.68,93,188.4,can,main
ours,1,2,1,esca,1,1.0,1.0,1.0,0.0,0.3363,0.8464,15,11.1,can,main
ours,1,2,2,esca,1,0.8661,0.8667,0.1333,0.033,-0.3304,0.8464,15,132.7,can,main
ours,1,2,2,lung,2,0.866,0.8632,1.0,-0.0,0.0984,0.7828,95,133.9,can,main
ours,1,2,3,esca,1,0.9375,0.9333,0.1111,0.0529,-0.0862,0.8464,15,230.7,can,main
ours,1,2,3,lung,2,0.8463,0.8421,0.2035,0.0429,0.0389,0.7828,95,232.0,can,main
ours,1,2,3,rcc,3,0.9407,0.9342,1.0,0.0,0.3603,0.8859,76,233.0,can,main
ours,1,2,4,esca,1,0.9375,0.9333,0.0667,0.0657,-0.0836,0.8464,15,351.9,can,main
ours,1,2,4,lung,2,0.8361,0.8316,0.1509,0.0617,0.0352,0.7828,95,353.3,can,main
ours,1,2,4,rcc,3,0.9713,0.9737,0.1272,0.025,0.432,0.8859,76,354.5,can,main
ours,1,2,4,brca,4,0.8745,0.9247,1.0,-0.0,0.1766,0.7008,93,355.9,can,main
