method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
seqft,1,1,1,brca,1,0.8151,0.8925,1.0,0.0,0.2202,0.672,93,40.5,can,reverse
seqft,1,1,2,brca,1,0.7496,0.8817,0.1935,0.3194,0.3552,0.672,93,72.5,can,reverse
seqft,1,1,2,rcc,2,0.9713,0.9737,1.0,0.0,0.9591,0.8742,76,73.0,can,reverse
seqft,1,1,3,brca,1,0.7361,0.8602,0.0645,0.4893,0.3253,0.672,93,112.7,can,reverse
seqft,1,1,3,rcc,2,0.9407,0.9342,0.0395,0.3477,0.8627,0.8742,76,113.3,can,reverse
seqft,1,1,3,lung,3,0.8647,0.8632,1.0,-0.0,0.0245,0.7544,95,114.0,can,reverse
seqft,1,1,4,brca,1,0.776,0.8925,0.1398,0.2863,0.3467,0.672,93,121.0,can,reverse
seqft,1,1,4,rcc,2,0.8787,0.9079,0.0395,0.2156,0.7805,0.8742,76,121.6,can,reverse
seqft,1,1,4,lung,3,0.8021,0.8,0.1158,0.4037,0.1562,0.7544,95,122.2,can,reverse
seqft,1,1,4,esca,4,0.8661,0.8667,1.0,-0.0,-0.1894,0.8411,15,122.3,can,reverse
seqft,1,2,1,brca,1,0.9203,0.9355,1.0,-0.0,0.1951,0.6733,93,70.4,can,reverse
seqft,1,2,2,brca,1,0.7038,0.871,0.1111,0.0946,0.12,0.6733,93,126.5,can,reverse
seqft,1,2,2,rcc,2,0.9713,0.9737,1.0,-0.0,0.4914,0.9088,76,127.5,can,reverse
seqft,1,2,3,brca,1,0.697,0.8602,0.1147,0.2014,0.1598,0.6733,93,197.0,can,reverse
seqft,1,2,3,rcc,2,0.9611,0.9605,0.1228,0.1031,0.4257,0.9088,76,197.9,can,reverse
seqft,1,2,3,lung,3,0.8545,0.8526,1.0,0.0,0.0511,0.7752,95,199.1,can,reverse
seqft,1,2,4,brca,1,0.7955,0.8925,0.0645,0.116,0.1788,0.6733,93,210.9,can,reverse
seqft,1,2,4,rcc,2,0.9036,0.9079,0.0482,0.0622,0.4285,0.9088,76,211.9,can,reverse
seqft,1,2,4,lung,3,0.8232,0.8211,0.0842,0.1248,0.1488,0.7752,95,213.0,can,reverse
seqft,1,2,4,esca,4,0.9375,0.9333,1.0,0.0,0.1202,0.8857,15,213.2,can,reverse
seqft,1,4,1,brca,1,0.8873,0.914,1.0,-0.0,0.0735,0.7561,93,133.1,can,reverse
