method,seed,K,t1_acc_before,t1_acc_after,forgetting,t2_acc,t1_random_ref,action_kl_drift,selection_jaccard
seqft,0,4,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,0.6666666666666666,0.0944,0.0556
distill,0,4,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,0.6666666666666666,0.0144,0.2905
