method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
ours,2,1,1,esca,1,0.875,0.8667,1.0,0.0,-0.2449,0.8679,15,6.4,can,main
ours,2,1,2,esca,1,0.9375,0.9333,0.2667,0.0921,0.5957,0.8679,15,62.1,can,main
ours,2,1,2,lung,2,0.8858,0.8842,1.0,0.0,0.0912,0.7639,95,62.6,can,main
ours,2,1,3,esca,1,0.9375,0.9333,0.1333,0.0978,-0.06,0.8679,15,108.0,can,main
ours,2,1,3,lung,2,0.8571,0.8526,0.3053,0.0839,-0.027,0.7639,95,108.6,can,main
ours,2,1,3,rcc,3,0.9305,0.9211,1.0,-0.0,0.8068,0.8511,76,109.0,can,main
ours,2,1,4,esca,1,0.9375,0.9333,0.1333,0.1213,0.6109,0.8679,15,163.8,can,main
ours,2,1,4,lung,2,0.8259,0.8211,0.1789,0.1435,-0.1105,0.7639,95,164.4,can,main
ours,2,1,4,rcc,3,0.9426,0.9474,0.1316,0.0497,0.8211,0.8511,76,164.8,can,main
ours,2,1,4,brca,4,0.8151,0.8925,1.0,-0.0,0.2362,0.6575,93,165.4,can,main
ours,2,2,1,esca,1,0.9375,0.9333,1.0,0.0,0.0808,0.8393,15,9.9,can,main
ours,2,2,2,esca,1,0.9375,0.9333,0.1778,0.035,-0.1494,0.8393,15,118.7,can,main
ours,2,2,2,lung,2,0.8776,0.8737,1.0,-0.0,-0.027,0.7886,95,119.8,can,main
ours,2,2,3,esca,1,0.9375,0.9333,0.0889,0.04,-0.1697,0.8393,15,204.7,can,main
ours,2,2,3,lung,2,0.8456,0.8421,0.2211,0.0263,0.0551,0.7886,95,206.3,can,main
ours,2,2,3,rcc,3,0.9611,0.9605,1.0,-0.0,0.4028,0.9083,76,207.1,can,main
ours,2,2,4,esca,1,0.9375,0.9333,0.1556,0.0314,-0.2497,0.8393,15,309.1,can,main
ours,2,2,4,lung,2,0.8252,0.8211,0.1404,0.0553,-0.0884,0.7886,95,310.1,can,main
ours,2,2,4,rcc,3,0.9713,0.9737,0.136,0.0214,0.3887,0.9083,76,310.9,can,main
ours,2,2,4,brca,4,0.9008,0.9355,1.0,0.0,0.1875,0.7351,93,312.0,can,main
