method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
seqft,0,1,1,esca,1,0.8661,0.8667,1.0,0.0,-0.2336,0.8321,15,13.7,can,main
seqft,0,1,2,esca,1,0.875,0.8667,0.0,0.4478,0.4724,0.8321,15,58.8,can,main
seqft,0,1,2,lung,2,0.8667,0.8632,1.0,-0.0,-0.0208,0.7707,95,59.6,can,main
seqft,0,1,3,esca,1,0.8661,0.8667,0.1333,0.2631,0.1971,0.8321,15,95.2,can,main
seqft,0,1,3,lung,2,0.8239,0.8211,0.1158,0.2328,0.1446,0.7707,95,96.1,can,main
seqft,0,1,3,rcc,3,0.9592,0.9474,1.0,-0.0,0.8379,0.8722,76,96.7,can,main
seqft,0,1,4,esca,1,0.8661,0.8667,0.1333,0.2004,0.3093,0.8321,15,140.0,can,main
seqft,0,1,4,lung,2,0.8429,0.8421,0.0842,0.437,0.184,0.7707,95,140.8,can,main
seqft,0,1,4,rcc,3,0.9157,0.9342,0.0658,0.3355,0.8128,0.8722,76,141.5,can,main
seqft,0,1,4,brca,4,0.9136,0.9247,1.0,-0.0,0.3792,0.6985,93,142.4,can,main
seqft,0,2,1,esca,1,0.9375,0.9333,1.0,0.0,0.0259,0.8714,15,16.6,can,main
seqft,0,2,2,esca,1,0.9375,0.9333,0.1111,0.1338,-0.0992,0.8714,15,94.2,can,main
seqft,0,2,2,lung,2,0.8864,0.8842,1.0,0.0,0.0251,0.8114,95,95.6,can,main
seqft,0,2,3,esca,1,0.8661,0.8667,0.1333,0.0579,-0.0913,0.8714,15,157.4,can,main
seqft,0,2,3,lung,2,0.7817,0.7789,0.0842,0.1752,0.0047,0.8114,95,159.0,can,main
seqft,0,2,3,rcc,3,0.9611,0.9605,1.0,-0.0,0.4201,0.9133,76,160.1,can,main
seqft,0,2,4,esca,1,0.9375,0.9333,0.1111,0.0771,0.1721,0.8714,15,238.2,can,main
seqft,0,2,4,lung,2,0.866,0.8632,0.0632,0.1881,0.1602,0.8114,95,239.6,can,main
seqft,0,2,4,rcc,3,0.9509,0.9474,0.1009,0.086,0.4225,0.9133,76,240.7,can,main
seqft,0,2,4,brca,4,0.894,0.9247,1.0,-0.0,0.1243,0.7009,93,242.0,can,main
seqft,0,4,1,esca,1,0.875,0.8667,1.0,-0.0,-0.0328,0.8179,15,23.6,can,main
seqft,0,4,2,esca,1,0.9375,0.9333,0.0686,0.0152,0.0456,0.8179,15,177.5,can,main
seqft,0,4,2,lung,2,0.8647,0.8632,1.0,-0.0,0.0445,0.8236,95,180.5,can,main
seqft,0,4,3,esca,1,0.9375,0.9333,0.0476,0.0145,0.06,0.8179,15,304.7,can,main
seqft,0,4,3,lung,2,0.8041,0.8,0.0817,0.0252,-0.0879,0.8236,95,307.5,can,main
seqft,0,4,3,rcc,3,0.9426,0.9474,1.0,-0.0,0.1624,0.9355,76,309.8,can,main
seqft,0,4,4,esca,1,0.8661,0.8667,0.0794,0.0193,-0.0127,0.8179,15,456.1,can,main
seqft,0,4,4,lung,2,0.7933,0.7895,0.0474,0.0251,-0.1189,0.8236,95,458.8,can,main
seqft,0,4,4,rcc,3,0.8768,0.8947,0.0414,0.0171,0.087,0.9355,76,461.0,can,main
seqft,0,4,4,brca,4,0.9068,0.914,1.0,-0.0,0.0707,0.705,93,463.8,can,main
ewc,0,1,1,esca,1,0.8661,0.8667,1.0,0.0,-0.2336,0.8321,15,7.3,can,main
ewc,0,1,2,esca,1,0.9375,0.9333,0.0,0.2957,0.6148,0.8321,15,61.6,can,main
ewc,0,1,2,lung,2,0.8973,0.8947,1.0,0.0,0.1408,0.7707,95,62.3,can,main
ewc,0,1,3,esca,1,0.9375,0.9333,0.1333,0.1699,0.6152,0.8321,15,112.4,can,main
ewc,0,1,3,lung,2,0.8756,0.8737,0.3263,0.1465,0.0808,0.7707,95,113.3,can,main
ewc,0,1,3,rcc,3,0.9509,0.9474,1.0,-0.0,0.8168,0.8722,76,113.8,can,main
ewc,0,1,4,esca,1,0.875,0.8667,0.0667,0.1507,0.1527,0.8321,15,183.9,can,main
ewc,0,1,4,lung,2,0.8048,0.8,0.1684,0.2884,0.0748,0.7707,95,184.6,can,main
ewc,0,1,4,rcc,3,0.9528,0.9605,0.1579,0.1526,0.8639,0.8722,76,185.2,can,main
ewc,0,1,4,brca,4,0.9068,0.914,1.0,-0.0,0.3658,0.6985,93,186.0,can,main
ewc,0,2,1,esca,1,0.9375,0.9333,1.0,0.0,0.0259,0.8714,15,13.0,can,main
ewc,0,2,2,esca,1,0.875,0.8667,0.1556,0.1202,0.182,0.8714,15,107.6,can,main
ewc,0,2,2,lung,2,0.8647,0.8632,1.0,-0.0,0.0179,0.8114,95,109.0,can,main
ewc,0,2,3,esca,1,0.9375,0.9333,0.0667,0.05,0.1861,0.8714,15,204.2,can,main
ewc,0,2,3,lung,2,0.8456,0.8421,0.1825,0.0814,0.0186,0.8114,95,205.7,can,main
ewc,0,2,3,rcc,3,0.9509,0.9474,1.0,0.0,0.3689,0.9133,76,206.9,can,main
ewc,0,2,4,esca,1,0.9375,0.9333,0.0444,0.0714,0.1645,0.8714,15,346.1,can,main
ewc,0,2,4,lung,2,0.8314,0.8316,0.0491,0.1624,0.087,0.8114,95,347.4,can,main
ewc,0,2,4,rcc,3,0.9157,0.9342,0.1096,0.0416,0.3668,0.9133,76,348.6,can,main
ewc,0,2,4,brca,4,0.9399,0.9355,1.0,-0.0,0.1766,0.7009,93,350.0,can,main
ewc,0,4,1,esca,1,0.875,0.8667,1.0,-0.0,-0.0328,0.8179,15,24.4,can,main
ewc,0,4,2,esca,1,0.9375,0.9333,0.0984,0.0142,0.0204,0.8179,15,212.5,can,main
ewc,0,4,2,lung,2,0.8545,0.8526,1.0,-0.0,0.0529,0.8236,95,215.4,can,main
ewc,0,4,3,esca,1,1.0,1.0,0.0889,0.0112,0.1676,0.8179,15,396.6,can,main
ewc,0,4,3,lung,2,0.8551,0.8526,0.185,0.0159,-0.0399,0.8236,95,399.8,can,main
ewc,0,4,3,rcc,3,0.9407,0.9342,1.0,-0.0,0.1795,0.9355,76,402.1,can,main
ewc,0,4,4,esca,1,0.8661,0.8667,0.1143,0.0175,0.0431,0.8179,15,666.1,can,main
ewc,0,4,4,lung,2,0.8232,0.8211,0.1019,0.0177,-0.0242,0.8236,95,668.8,can,main
ewc,0,4,4,rcc,3,0.8602,0.8947,0.0946,0.0113,0.1347,0.9355,76,670.9,can,main
ewc,0,4,4,brca,4,0.9068,0.914,1.0,-0.0,0.0786,0.705,93,673.8,can,main
lwf,0,1,1,esca,1,0.8661,0.8667,1.0,0.0,-0.2336,0.8321,15,6.8,can,main
lwf,0,1,2,esca,1,0.8661,0.8667,0.0,0.1328,0.4709,0.8321,15,54.9,can,main
lwf,0,1,2,lung,2,0.8545,0.8526,1.0,-0.0,0.0718,0.7707,95,55.6,can,main
lwf,0,1,3,esca,1,0.8661,0.8667,0.2,0.169,0.5397,0.8321,15,93.0,can,main
lwf,0,1,3,lung,2,0.8762,0.8737,0.2,0.0381,0.1188,0.7707,95,93.7,can,main
lwf,0,1,3,rcc,3,0.9407,0.9342,1.0,-0.0,0.7993,0.8722,76,94.3,can,main
lwf,0,1,4,esca,1,0.8661,0.8667,0.1333,0.1292,0.3216,0.8321,15,143.0,can,main
lwf,0,1,4,lung,2,0.8558,0.8526,0.1368,0.0902,0.0321,0.7707,95,143.9,can,main
lwf,0,1,4,rcc,3,0.9036,0.9079,0.2763,0.0544,0.7976,0.8722,76,144.6,can,main
lwf,0,1,4,brca,4,0.8414,0.9032,1.0,-0.0,0.2194,0.6985,93,145.4,can,main
lwf,0,2,1,esca,1,0.9375,0.9333,1.0,0.0,0.0259,0.8714,15,14.1,can,main
lwf,0,2,2,esca,1,0.9375,0.9333,0.2444,0.0369,0.0654,0.8714,15,108.6,can,main
lwf,0,2,2,lung,2,0.8864,0.8842,1.0,-0.0,0.0701,0.8114,95,110.0,can,main
lwf,0,2,3,esca,1,0.9375,0.9333,0.1556,0.044,0.215,0.8714,15,180.4,can,main
lwf,0,2,3,lung,2,0.8647,0.8632,0.2035,0.0201,0.0905,0.8114,95,181.8,can,main
lwf,0,2,3,rcc,3,0.9509,0.9474,1.0,-0.0,0.3783,0.9133,76,183.1,can,main
lwf,0,2,4,esca,1,0.9375,0.9333,0.1333,0.0485,0.0522,0.8714,15,266.4,can,main
lwf,0,2,4,lung,2,0.8232,0.8211,0.1789,0.0372,0.0549,0.8114,95,267.8,can,main
lwf,0,2,4,rcc,3,0.9611,0.9605,0.2149,0.0167,0.4011,0.9133,76,268.9,can,main
lwf,0,2,4,brca,4,0.9136,0.9247,1.0,-0.0,0.1591,0.7009,93,270.3,can,main
lwf,0,4,1,esca,1,0.875,0.8667,1.0,-0.0,-0.0328,0.8179,15,25.8,can,main
lwf,0,4,2,esca,1,0.9286,0.9333,0.1111,0.006,0.151,0.8179,15,186.4,can,main
lwf,0,4,2,lung,2,0.8749,0.8737,1.0,-0.0,0.0577,0.8236,95,189.1,can,main
lwf,0,4,3,esca,1,1.0,1.0,0.0762,0.0075,0.1713,0.8179,15,321.1,can,main
lwf,0,4,3,lung,2,0.8456,0.8421,0.1809,0.0041,-0.0231,0.8236,95,324.0,can,main
lwf,0,4,3,rcc,3,0.9713,0.9737,1.0,-0.0,0.2216,0.9355,76,326.2,can,main
lwf,0,4,4,esca,1,0.9375,0.9333,0.0476,0.009,0.0345,0.8179,15,491.7,can,main
lwf,0,4,4,lung,2,0.8361,0.8316,0.1129,0.0071,-0.0435,0.8236,95,494.3,can,main
lwf,0,4,4,rcc,3,0.9426,0.9474,0.1497,0.0035,0.1897,0.9355,76,496.4,can,main
lwf,0,4,4,brca,4,0.9264,0.914,1.0,-0.0,0.0766,0.705,93,499.9,can,main
replay,0,1,1,esca,1,0.8661,0.8667,1.0,0.0,-0.2336,0.8321,15,7.2,can,main
replay,0,1,2,esca,1,0.8661,0.8667,0.2,0.1325,-0.5541,0.8321,15,72.0,can,main
replay,0,1,2,lung,2,0.8565,0.8526,1.0,-0.0,0.0141,0.7707,95,72.8,can,main
replay,0,1,3,esca,1,0.9375,0.9333,0.0667,0.1341,-0.1521,0.8321,15,123.4,can,main
replay,0,1,3,lung,2,0.866,0.8632,0.4316,0.0715,0.0393,0.7707,95,124.1,can,main
replay,0,1,3,rcc,3,0.9305,0.9211,1.0,-0.0,0.8203,0.8722,76,124.7,can,main
replay,0,1,4,esca,1,0.875,0.8667,0.0667,0.1182,0.1121,0.8321,15,185.6,can,main
replay,0,1,4,lung,2,0.8571,0.8526,0.2211,0.1204,0.0798,0.7707,95,186.3,can,main
replay,0,1,4,rcc,3,0.9082,0.8816,0.3816,0.0694,0.7463,0.8722,76,186.8,can,main
replay,0,1,4,brca,4,0.8151,0.8925,1.0,-0.0,0.1926,0.6985,93,187.5,can,main
replay,0,2,1,esca,1,0.9375,0.9333,1.0,0.0,0.0259,0.8714,15,12.0,can,main
replay,0,2,2,esca,1,0.9375,0.9333,0.1111,0.0695,-0.0997,0.8714,15,123.8,can,main
replay,0,2,2,lung,2,0.8367,0.8316,1.0,0.0,-0.0269,0.8114,95,125.2,can,main
replay,0,2,3,esca,1,0.9375,0.9333,0.0889,0.0702,0.0685,0.8714,15,215.9,can,main
replay,0,2,3,lung,2,0.815,0.8105,0.1439,0.045,0.0512,0.8114,95,217.5,can,main
replay,0,2,3,rcc,3,0.9611,0.9605,1.0,0.0,0.43,0.9133,76,218.6,can,main
replay,0,2,4,esca,1,0.8661,0.8667,0.1111,0.0511,-0.0881,0.8714,15,331.5,can,main
replay,0,2,4,lung,2,0.8354,0.8316,0.1123,0.0864,0.0332,0.8114,95,332.9,can,main
replay,0,2,4,rcc,3,0.9815,0.9868,0.2061,0.0233,0.4664,0.9133,76,334.0,can,main
replay,0,2,4,brca,4,0.9203,0.9355,1.0,-0.0,0.1518,0.7009,93,335.3,can,main
replay,0,4,1,esca,1,0.875,0.8667,1.0,-0.0,-0.0328,0.8179,15,22.7,can,main
replay,0,4,2,esca,1,0.9375,0.9333,0.0984,0.0425,-0.0087,0.8179,15,234.6,can,main
replay,0,4,2,lung,2,0.7804,0.7789,1.0,-0.0,0.0049,0.8236,95,237.2,can,main
replay,0,4,3,esca,1,0.875,0.8667,0.1079,0.0446,-0.055,0.8179,15,405.8,can,main
replay,0,4,3,lung,2,0.8232,0.8211,0.1748,0.0326,0.0372,0.8236,95,408.4,can,main
replay,0,4,3,rcc,3,0.8666,0.8816,1.0,-0.0,0.1844,0.9355,76,410.5,can,main
replay,0,4,4,esca,1,0.875,0.8667,0.0667,0.0304,-0.0006,0.8179,15,619.5,can,main
replay,0,4,4,lung,2,0.8048,0.8,0.1646,0.0342,0.0023,0.8236,95,622.1,can,main
replay,0,4,4,rcc,3,0.9259,0.9474,0.0969,0.0135,0.1775,0.9355,76,624.2,can,main
replay,0,4,4,brca,4,0.9129,0.8925,1.0,-0.0,0.0619,0.705,93,626.7,can,main
distill,0,1,1,esca,1,0.8661,0.8667,1.0,0.0,-0.2336,0.8321,15,6.5,can,main
distill,0,1,2,esca,1,0.875,0.8667,0.3333,0.0449,-0.3544,0.8321,15,72.7,can,main
distill,0,1,2,lung,2,0.8463,0.8421,1.0,0.0,-0.0729,0.7707,95,73.4,can,main
distill,0,1,3,esca,1,0.9375,0.9333,0.2667,0.0581,-0.2649,0.8321,15,125.6,can,main
