method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
ours,0,1,1,esca,1,0.8661,0.8667,1.0,0.0,-0.2336,0.8321,15,7.3,can,main
ours,0,1,2,esca,1,0.8661,0.8667,0.4667,0.0311,-0.6669,0.8321,15,76.6,can,main
ours,0,1,2,lung,2,0.866,0.8632,1.0,-0.0,0.0965,0.7707,95,77.4,can,main
ours,0,1,3,esca,1,0.8661,0.8667,0.3333,0.0447,-0.5537,0.8321,15,133.4,can,main
ours,0,1,3,lung,2,0.8565,0.8526,0.6842,0.0209,-0.0485,0.7707,95,134.1,can,main
ours,0,1,3,rcc,3,0.9694,0.9605,1.0,-0.0,0.8303,0.8722,76,134.7,can,main
ours,0,1,4,esca,1,0.9375,0.9333,0.2,0.0605,-0.2634,0.8321,15,203.8,can,main
ours,0,1,4,lung,2,0.8259,0.8211,0.5053,0.0369,-0.0842,0.7707,95,204.5,can,main
ours,0,1,4,rcc,3,0.9694,0.9605,0.4868,0.0181,0.811,0.8722,76,205.1,can,main
ours,0,1,4,brca,4,0.8151,0.8925,1.0,-0.0,0.0591,0.6985,93,205.9,can,main
ours,0,2,1,esca,1,0.9375,0.9333,1.0,0.0,0.0259,0.8714,15,11.8,can,main
ours,0,2,2,esca,1,0.9375,0.9333,0.2889,0.0073,0.1273,0.8714,15,143.7,can,main
ours,0,2,2,lung,2,0.8055,0.8,1.0,-0.0,-0.068,0.8114,95,145.0,can,main
ours,0,2,3,esca,1,1.0,1.0,0.2222,0.0127,0.3316,0.8714,15,249.9,can,main
ours,0,2,3,lung,2,0.8041,0.8,0.2912,0.0149,-0.0118,0.8114,95,251.3,can,main
ours,0,2,3,rcc,3,0.9407,0.9342,1.0,-0.0,0.3645,0.9133,76,252.4,can,main
ours,0,2,4,esca,1,0.9375,0.9333,0.2,0.0171,-0.0072,0.8714,15,384.9,can,main
ours,0,2,4,lung,2,0.8463,0.8421,0.2386,0.0156,0.0284,0.8114,95,386.3,can,main
ours,0,2,4,rcc,3,0.9611,0.9605,0.1974,0.006,0.4118,0.9133,76,387.4,can,main
ours,0,2,4,brca,4,0.8677,0.914,1.0,-0.0,0.1618,0.7009,93,388.7,can,main
