method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
ours,2,1,1,esca,1,0.875,0.8667,1.0,0.0,-0.2449,0.8679,15,7.1,can,main
ours,2,1,2,esca,1,0.9375,0.9333,0.4,0.0614,0.5482,0.8679,15,71.6,can,main
ours,2,1,2,lung,2,0.866,0.8632,1.0,-0.0,-0.0623,0.7639,95,72.3,can,main
ours,2,1,3,esca,1,0.875,0.8667,0.3333,0.0505,-0.0169,0.8679,15,123.9,can,main
ours,2,1,3,lung,2,0.8878,0.8842,0.4,0.0984,0.0952,0.7639,95,124.6,can,main
ours,2,1,3,rcc,3,0.9407,0.9342,1.0,-0.0,0.7875,0.8511,76,125.2,can,main
ours,2,1,4,esca,1,0.9375,0.9333,0.2667,0.0813,0.1363,0.8679,15,191.2,can,main
ours,2,1,4,lung,2,0.8055,0.8,0.1895,0.1637,-0.1516,0.7639,95,191.9,can,main
ours,2,1,4,rcc,3,0.9796,0.9737,0.1579,0.0405,0.9015,0.8511,76,192.6,can,main
ours,2,1,4,brca,4,0.8286,0.914,1.0,-0.0,0.3318,0.6575,93,193.2,can,main
ours,2,2,1,esca,1,0.9375,0.9333,1.0,0.0,0.0808,0.8393,15,11.3,can,main
ours,2,2,2,esca,1,0.9375,0.9333,0.1333,0.0243,-0.2596,0.8393,15,142.4,can,main
ours,2,2,2,lung,2,0.8667,0.8632,1.0,-0.0,0.012,0.7886,95,143.8,can,main
ours,2,2,3,esca,1,0.9375,0.9333,0.1778,0.0356,-0.2582,0.8393,15,244.3,can,main
ours,2,2,3,lung,2,0.8456,0.8421,0.1754,0.0334,-0.0436,0.7886,95,245.7,can,main
ours,2,2,3,rcc,3,0.9407,0.9342,1.0,-0.0,0.4213,0.9083,76,246.9,can,main
ours,2,2,4,esca,1,0.875,0.8667,0.1778,0.0312,-0.3066,0.8393,15,372.4,can,main
ours,2,2,4,lung,2,0.7429,0.7368,0.0947,0.06,-0.1559,0.7886,95,373.8,can,main
ours,2,2,4,rcc,3,0.9611,0.9605,0.1096,0.0299,0.3952,0.9083,76,374.9,can,main
ours,2,2,4,brca,4,0.894,0.9247,1.0,-0.0,0.1959,0.7351,93,376.3,can,main
