method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
ours,4,1,1,esca,1,0.9375,0.9333,1.0,0.0,0.0792,0.7982,15,6.2,can,main
ours,4,1,2,esca,1,0.9375,0.9333,0.2,0.0336,0.0018,0.7982,15,61.1,can,main
ours,4,1,2,lung,2,0.8551,0.8526,1.0,-0.0,0.0164,0.7368,95,61.7,can,main
ours,4,1,3,esca,1,0.9375,0.9333,0.3333,0.0514,0.0791,0.7982,15,105.6,can,main
ours,4,1,3,lung,2,0.8571,0.8526,0.3263,0.0631,0.0607,0.7368,95,106.1,can,main
ours,4,1,3,rcc,3,0.949,0.9342,1.0,0.0,0.7601,0.8931,76,106.5,can,main
ours,4,1,4,esca,1,1.0,1.0,0.0667,0.0796,0.6488,0.7982,15,163.1,can,main
ours,4,1,4,lung,2,0.8463,0.8421,0.2316,0.0978,0.0772,0.7368,95,163.7,can,main
ours,4,1,4,rcc,3,0.9796,0.9737,0.2237,0.0832,0.8639,0.8931,76,164.2,can,main
ours,4,1,4,brca,4,0.9008,0.9355,1.0,-0.0,0.3228,0.6746,93,164.7,can,main
ours,4,2,1,esca,1,0.9375,0.9333,1.0,0.0,-0.1368,0.925,15,10.1,can,main
ours,4,2,2,esca,1,0.7946,0.8,0.0889,0.0275,-0.1092,0.925,15,122.1,can,main
ours,4,2,2,lung,2,0.8749,0.8737,1.0,0.0,-0.0051,0.8127,95,123.2,can,main
ours,4,2,3,esca,1,0.9375,0.9333,0.0667,0.0267,-0.0892,0.925,15,209.3,can,main
ours,4,2,3,lung,2,0.815,0.8105,0.1228,0.0485,-0.0913,0.8127,95,210.4,can,main
ours,4,2,3,rcc,3,0.9713,0.9737,1.0,-0.0,0.3991,0.9072,76,211.3,can,main
ours,4,2,4,esca,1,0.875,0.8667,0.1778,0.0425,-0.1465,0.925,15,315.5,can,main
ours,4,2,4,lung,2,0.8565,0.8526,0.1158,0.0814,-0.0103,0.8127,95,316.6,can,main
ours,4,2,4,rcc,3,0.9713,0.9737,0.1053,0.0266,0.4376,0.9072,76,317.5,can,main
ours,4,2,4,brca,4,0.809,0.914,1.0,-0.0,0.1607,0.6981,93,318.5,can,main
