method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
ours_uniform,1,1,1,esca,1,0.875,0.8667,1.0,-0.0,-0.3416,0.8018,15,8.1,can,main
ours_uniform,1,1,2,esca,1,0.9375,0.9333,0.0667,0.0558,-0.2704,0.8018,15,69.9,can,main
ours_uniform,1,1,2,lung,2,0.8864,0.8842,1.0,-0.0,0.1907,0.771,95,70.5,can,main
ours_uniform,1,1,3,esca,1,0.875,0.8667,0.0667,0.0565,-0.3849,0.8018,15,116.8,can,main
ours_uniform,1,1,3,lung,2,0.8551,0.8526,0.3895,0.0504,0.0573,0.771,95,117.4,can,main
ours_uniform,1,1,3,rcc,3,0.9713,0.9737,1.0,-0.0,0.87,0.9035,76,117.9,can,main
ours_uniform,1,1,4,esca,1,0.9375,0.9333,0.2,0.1034,-0.2161,0.8018,15,175.5,can,main
ours_uniform,1,1,4,lung,2,0.898,0.8947,0.2211,0.0761,0.2112,0.771,95,176.1,can,main
ours_uniform,1,1,4,rcc,3,0.9407,0.9342,0.4342,0.0391,0.817,0.9035,76,176.5,can,main
ours_uniform,1,1,4,brca,4,0.8023,0.9032,1.0,-0.0,0.1876,0.68,93,177.1,can,main
ours_uniform,1,2,1,esca,1,1.0,1.0,1.0,0.0,0.3363,0.8464,15,10.4,can,main
ours_uniform,1,2,2,esca,1,0.8661,0.8667,0.1111,0.0271,-0.2063,0.8464,15,123.2,can,main
ours_uniform,1,2,2,lung,2,0.8538,0.8526,1.0,-0.0,0.0714,0.7828,95,124.3,can,main
ours_uniform,1,2,3,esca,1,0.9375,0.9333,0.1556,0.035,-0.0164,0.8464,15,213.9,can,main
ours_uniform,1,2,3,lung,2,0.8456,0.8421,0.214,0.028,0.011,0.7828,95,215.1,can,main
ours_uniform,1,2,3,rcc,3,0.9713,0.9737,1.0,-0.0,0.4186,0.8859,76,216.0,can,main
ours_uniform,1,2,4,esca,1,0.9375,0.9333,0.0889,0.0583,-0.0315,0.8464,15,329.1,can,main
ours_uniform,1,2,4,lung,2,0.7933,0.7895,0.1895,0.0393,-0.0179,0.7828,95,330.2,can,main
ours_uniform,1,2,4,rcc,3,0.9324,0.9342,0.2412,0.0189,0.4104,0.8859,76,331.1,can,main
ours_uniform,1,2,4,brca,4,0.894,0.9247,1.0,-0.0,0.1307,0.7008,93,332.2,can,main
