method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
ours,0,1,1,esca,1,0.8661,0.8667,1.0,0.0,-0.2336,0.8321,15,7.8,can,main
ours,0,1,2,esca,1,0.8661,0.8667,0.2,0.0473,0.2145,0.8321,15,77.6,can,main
ours,0,1,2,lung,2,0.866,0.8632,1.0,-0.0,0.0093,0.7707,95,78.3,can,main
ours,0,1,3,esca,1,0.8661,0.8667,0.2667,0.0559,-0.6684,0.8321,15,127.6,can,main
ours,0,1,3,lung,2,0.8776,0.8737,0.4105,0.0318,0.0603,0.7707,95,128.2,can,main
ours,0,1,3,rcc,3,0.9592,0.9474,1.0,-0.0,0.8257,0.8722,76,128.7,can,main
ours,0,1,4,esca,1,0.8661,0.8667,0.2,0.0893,0.538,0.8321,15,190.9,can,main
ours,0,1,4,lung,2,0.866,0.8632,0.2947,0.0524,0.0506,0.7707,95,191.5,can,main
ours,0,1,4,rcc,3,0.8998,0.8816,0.3816,0.0278,0.825,0.8722,76,192.1,can,main
ours,0,1,4,brca,4,0.8482,0.914,1.0,0.0,0.148,0.6985,93,192.8,can,main
ours,0,2,1,esca,1,0.9375,0.9333,1.0,0.0,0.0259,0.8714,15,11.1,can,main
ours,0,2,2,esca,1,0.9375,0.9333,0.1333,0.0149,0.0633,0.8714,15,131.1,can,main
ours,0,2,2,lung,2,0.8463,0.8421,1.0,-0.0,-0.0852,0.8114,95,132.4,can,main
ours,0,2,3,esca,1,0.9375,0.9333,0.1333,0.022,0.1712,0.8714,15,227.7,can,main
ours,0,2,3,lung,2,0.8667,0.8632,0.2982,0.0135,-0.0109,0.8114,95,229.0,can,main
ours,0,2,3,rcc,3,0.9509,0.9474,1.0,-0.0,0.3946,0.9133,76,230.1,can,main
ours,0,2,4,esca,1,0.9375,0.9333,0.0667,0.0246,0.0924,0.8714,15,348.2,can,main
ours,0,2,4,lung,2,0.8449,0.8421,0.2912,0.0186,-0.0376,0.8114,95,349.5,can,main
ours,0,2,4,rcc,3,0.9611,0.9605,0.2675,0.0069,0.3956,0.9133,76,350.5,can,main
ours,0,2,4,brca,4,0.8482,0.914,1.0,-0.0,0.102,0.7009,93,351.7,can,main
