method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
ours,2,1,1,esca,1,0.875,0.8667,1.0,0.0,-0.2449,0.8679,15,7.5,can,main
ours,2,1,2,esca,1,0.9375,0.9333,0.4,0.0614,0.5482,0.8679,15,73.9,can,main
ours,2,1,2,lung,2,0.866,0.8632,1.0,-0.0,-0.0623,0.7639,95,74.6,can,main
ours,2,1,3,esca,1,0.9375,0.9333,0.2,0.0835,0.6125,0.8679,15,124.7,can,main
ours,2,1,3,lung,2,0.8756,0.8737,0.5895,0.032,-0.0236,0.7639,95,125.3,can,main
ours,2,1,3,rcc,3,0.9592,0.9474,1.0,-0.0,0.7986,0.8511,76,125.8,can,main
ours,2,1,4,esca,1,0.9375,0.9333,0.1333,0.1012,0.6118,0.8679,15,190.1,can,main
ours,2,1,4,lung,2,0.8864,0.8842,0.3579,0.064,0.1135,0.7639,95,190.8,can,main
ours,2,1,4,rcc,3,0.9305,0.9211,0.4474,0.022,0.8066,0.8511,76,191.3,can,main
ours,2,1,4,brca,4,0.7692,0.8817,1.0,0.0,0.2175,0.6575,93,192.0,can,main
ours,2,2,1,esca,1,0.9375,0.9333,1.0,0.0,0.0808,0.8393,15,11.6,can,main
ours,2,2,2,esca,1,0.9375,0.9333,0.1778,0.0133,-0.1607,0.8393,15,133.9,can,main
ours,2,2,2,lung,2,0.8565,0.8526,1.0,-0.0,-0.0565,0.7886,95,135.2,can,main
ours,2,2,3,esca,1,0.9375,0.9333,0.1556,0.0236,-0.0979,0.8393,15,232.4,can,main
ours,2,2,3,lung,2,0.8551,0.8526,0.2737,0.0118,-0.0203,0.7886,95,233.7,can,main
ours,2,2,3,rcc,3,0.9509,0.9474,1.0,0.0,0.37,0.9083,76,234.8,can,main
ours,2,2,4,esca,1,0.9375,0.9333,0.2667,0.0265,0.1555,0.8393,15,356.8,can,main
ours,2,2,4,lung,2,0.8443,0.8421,0.1649,0.0184,0.0467,0.7886,95,358.1,can,main
ours,2,2,4,rcc,3,0.9611,0.9605,0.1842,0.0068,0.4219,0.9083,76,359.2,can,main
ours,2,2,4,brca,4,0.9203,0.9355,1.0,-0.0,0.2029,0.7351,93,360.5,can,main
