method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
ours,4,1,1,esca,1,0.9375,0.9333,1.0,0.0,0.0792,0.7982,15,7.7,can,main
ours,4,1,2,esca,1,0.9375,0.9333,0.2,0.0235,0.0989,0.7982,15,78.2,can,main
ours,4,1,2,lung,2,0.8558,0.8526,1.0,-0.0,0.0683,0.7368,95,78.9,can,main
ours,4,1,3,esca,1,0.9375,0.9333,0.2,0.0375,0.2373,0.7982,15,135.0,can,main
ours,4,1,3,lung,2,0.866,0.8632,0.5789,0.0175,0.0013,0.7368,95,135.7,can,main
ours,4,1,3,rcc,3,0.9509,0.9474,1.0,-0.0,0.7496,0.8931,76,136.3,can,main
ours,4,1,4,esca,1,1.0,1.0,0.0667,0.0578,0.661,0.7982,15,207.1,can,main
ours,4,1,4,lung,2,0.8762,0.8737,0.4421,0.0355,0.0958,0.7368,95,207.8,can,main
ours,4,1,4,rcc,3,0.9305,0.9211,0.4079,0.0171,0.7676,0.8931,76,208.4,can,main
ours,4,1,4,brca,4,0.9136,0.9247,1.0,-0.0,0.3846,0.6746,93,209.1,can,main
ours,4,2,1,esca,1,0.9375,0.9333,1.0,0.0,-0.1368,0.925,15,12.3,can,main
ours,4,2,2,esca,1,0.9375,0.9333,0.3111,0.0073,0.2688,0.925,15,147.9,can,main
ours,4,2,2,lung,2,0.8538,0.8526,1.0,-0.0,-0.0205,0.8127,95,149.4,can,main
ours,4,2,3,esca,1,0.9375,0.9333,0.2889,0.0122,0.0274,0.925,15,258.9,can,main
ours,4,2,3,lung,2,0.8654,0.8632,0.2982,0.0136,-0.0576,0.8127,95,260.6,can,main
ours,4,2,3,rcc,3,0.9611,0.9605,1.0,-0.0,0.3931,0.9072,76,261.8,can,main
ours,4,2,4,esca,1,0.875,0.8667,0.0889,0.0175,-0.0622,0.925,15,377.2,can,main
ours,4,2,4,lung,2,0.8232,0.8211,0.193,0.0219,0.0262,0.8127,95,378.1,can,main
ours,4,2,4,rcc,3,0.9426,0.9474,0.2018,0.0079,0.4326,0.9072,76,378.9,can,main
ours,4,2,4,brca,4,0.8353,0.9247,1.0,0.0,0.0656,0.6981,93,380.1,can,main
