method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
ours,3,1,1,esca,1,0.9375,0.9333,1.0,0.0,0.0048,0.9071,15,7.1,can,main
ours,3,1,2,esca,1,1.0,1.0,0.2,0.0712,0.6587,0.9071,15,70.0,can,main
ours,3,1,2,lung,2,0.8756,0.8737,1.0,-0.0,-0.1661,0.7535,95,70.7,can,main
ours,3,1,3,esca,1,0.9375,0.9333,0.2,0.2255,0.0039,0.9071,15,121.6,can,main
ours,3,1,3,lung,2,0.8361,0.8316,0.4632,0.0681,-0.2726,0.7535,95,122.3,can,main
ours,3,1,3,rcc,3,0.9528,0.9605,1.0,-0.0,0.8598,0.8533,76,122.9,can,main
ours,3,1,4,esca,1,0.9375,0.9333,0.0667,0.1717,0.2214,0.9071,15,185.4,can,main
ours,3,1,4,lung,2,0.866,0.8632,0.2947,0.0796,-0.039,0.7535,95,186.2,can,main
ours,3,1,4,rcc,3,0.9426,0.9474,0.2895,0.0344,0.8144,0.8533,76,186.7,can,main
ours,3,1,4,brca,4,0.9001,0.9032,1.0,0.0,0.3129,0.655,93,187.3,can,main
ours,3,2,1,esca,1,0.9375,0.9333,1.0,0.0,-0.1337,0.825,15,11.3,can,main
ours,3,2,2,esca,1,0.9375,0.9333,0.0889,0.0243,-0.0042,0.825,15,133.2,can,main
ours,3,2,2,lung,2,0.8429,0.8421,1.0,-0.0,-0.1012,0.7867,95,134.5,can,main
ours,3,2,3,esca,1,0.9375,0.9333,0.0889,0.0424,0.0481,0.825,15,232.5,can,main
ours,3,2,3,lung,2,0.8762,0.8737,0.1509,0.0284,0.0312,0.7867,95,233.7,can,main
ours,3,2,3,rcc,3,0.9713,0.9737,1.0,-0.0,0.4137,0.8825,76,234.7,can,main
ours,3,2,4,esca,1,0.9375,0.9333,0.0889,0.0431,0.2173,0.825,15,356.7,can,main
ours,3,2,4,lung,2,0.8449,0.8421,0.1193,0.0385,-0.0622,0.7867,95,358.1,can,main
ours,3,2,4,rcc,3,0.9713,0.9737,0.1623,0.0213,0.4285,0.8825,76,359.2,can,main
ours,3,2,4,brca,4,0.9467,0.9462,1.0,0.0,0.174,0.7233,93,360.6,can,main
