method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
seqft,3,1,1,brca,1,0.9399,0.9355,1.0,0.0,0.4509,0.655,93,48.0,can,reverse
seqft,3,1,2,brca,1,0.6181,0.828,0.043,0.2938,0.1211,0.655,93,88.9,can,reverse
seqft,3,1,2,rcc,2,0.9796,0.9737,1.0,-0.0,0.9217,0.8657,76,89.5,can,reverse
seqft,3,1,3,brca,1,0.7038,0.871,0.086,0.3726,0.3469,0.655,93,136.8,can,reverse
seqft,3,1,3,rcc,2,0.9611,0.9605,0.1053,0.3948,0.927,0.8657,76,137.6,can,reverse
seqft,3,1,3,lung,3,0.8341,0.8316,1.0,-0.0,-0.1019,0.7736,95,138.6,can,reverse
seqft,3,1,4,brca,1,0.5985,0.828,0.0538,0.2785,0.1337,0.655,93,147.9,can,reverse
seqft,3,1,4,rcc,2,0.9407,0.9342,0.0526,0.196,0.8996,0.8657,76,148.7,can,reverse
seqft,3,1,4,lung,3,0.7844,0.7789,0.2105,0.3402,-0.1741,0.7736,95,149.8,can,reverse
seqft,3,1,4,esca,4,0.875,0.8667,1.0,0.0,0.1067,0.9339,15,149.9,can,reverse
seqft,3,2,1,brca,1,0.8745,0.9247,1.0,-0.0,0.1967,0.7063,93,88.8,can,reverse
seqft,3,2,2,brca,1,0.6181,0.828,0.0717,0.0882,0.089,0.7063,93,157.8,can,reverse
seqft,3,2,2,rcc,2,0.9426,0.9474,1.0,-0.0,0.4473,0.9022,76,159.1,can,reverse
seqft,3,2,3,brca,1,0.7301,0.8817,0.1434,0.0962,0.1151,0.7063,93,240.2,can,reverse
seqft,3,2,3,rcc,2,0.9713,0.9737,0.0789,0.0679,0.4528,0.9022,76,241.3,can,reverse
seqft,3,2,3,lung,3,0.8538,0.8526,1.0,-0.0,0.0722,0.8175,95,242.6,can,reverse
seqft,3,2,4,brca,1,0.8023,0.9032,0.0932,0.1113,0.0994,0.7063,93,255.5,can,reverse
seqft,3,2,4,rcc,2,0.8915,0.8816,0.0658,0.126,0.3656,0.9022,76,256.6,can,reverse
seqft,3,2,4,lung,3,0.7748,0.7684,0.0456,0.113,-0.0817,0.8175,95,258.0,can,reverse
seqft,3,2,4,esca,4,0.875,0.8667,1.0,0.0,-0.2036,0.8393,15,258.2,can,reverse
seqft,3,4,1,brca,1,0.8805,0.9032,1.0,-0.0,0.0821,0.7129,93,155.2,can,reverse
seqft,3,4,2,brca,1,0.6053,0.8387,0.0625,0.0434,0.0126,0.7129,93,270.2,can,reverse
seqft,3,4,2,rcc,2,0.9611,0.9605,1.0,-0.0,0.2122,0.9346,76,272.4,can,reverse
seqft,3,4,3,brca,1,0.7233,0.871,0.1172,0.0479,0.033,0.7129,93,418.8,can,reverse
seqft,3,4,3,rcc,2,0.887,0.9079,0.089,0.0114,0.1694,0.9346,76,421.2,can,reverse
seqft,3,4,3,lung,3,0.8232,0.8211,1.0,-0.0,0.0013,0.8119,95,424.1,can,reverse
seqft,3,4,4,brca,1,0.8482,0.914,0.1058,0.0429,0.0674,0.7129,93,451.2,can,reverse
seqft,3,4,4,rcc,2,0.8953,0.9079,0.0668,0.0145,0.201,0.9346,76,453.5,can,reverse
seqft,3,4,4,lung,3,0.8028,0.8,0.1453,0.0221,-0.006,0.8119,95,456.8,can,reverse
seqft,3,4,4,esca,4,0.9375,0.9333,1.0,-0.0,0.0089,0.8696,15,457.4,can,reverse
ewc,3,1,1,brca,1,0.9399,0.9355,1.0,0.0,0.4509,0.655,93,51.1,can,reverse
ewc,3,1,2,brca,1,0.8745,0.9247,0.172,0.1661,0.3722,0.655,93,94.1,can,reverse
ewc,3,1,2,rcc,2,0.9796,0.9737,1.0,0.0,0.8822,0.8657,76,94.7,can,reverse
ewc,3,1,3,brca,1,0.9136,0.9247,0.1505,0.2363,0.4497,0.655,93,155.6,can,reverse
ewc,3,1,3,rcc,2,0.949,0.9342,0.1842,0.2141,0.8316,0.8657,76,156.2,can,reverse
ewc,3,1,3,lung,3,0.8443,0.8421,1.0,-0.0,-0.1691,0.7736,95,157.0,can,reverse
ewc,3,1,4,brca,1,0.8873,0.914,0.1505,0.1337,0.3702,0.655,93,168.4,can,reverse
ewc,3,1,4,rcc,2,0.9694,0.9605,0.1579,0.149,0.8791,0.8657,76,169.0,can,reverse
ewc,3,1,4,lung,3,0.7531,0.7474,0.1579,0.3123,0.1157,0.7736,95,169.7,can,reverse
ewc,3,1,4,esca,4,0.9375,0.9333,1.0,0.0,0.5899,0.9339,15,169.8,can,reverse
ewc,3,2,1,brca,1,0.8745,0.9247,1.0,-0.0,0.1967,0.7063,93,75.1,can,reverse
ewc,3,2,2,brca,1,0.7038,0.871,0.129,0.0709,0.1642,0.7063,93,151.2,can,reverse
ewc,3,2,2,rcc,2,0.9528,0.9605,1.0,-0.0,0.4237,0.9022,76,152.4,can,reverse
ewc,3,2,3,brca,1,0.8023,0.9032,0.1577,0.079,0.1808,0.7063,93,279.8,can,reverse
ewc,3,2,3,rcc,2,0.9342,0.9474,0.057,0.0725,0.4662,0.9022,76,280.9,can,reverse
ewc,3,2,3,lung,3,0.8545,0.8526,1.0,-0.0,0.0241,0.8175,95,282.2,can,reverse
ewc,3,2,4,brca,1,0.8745,0.9247,0.1326,0.0581,0.203,0.7063,93,305.3,can,reverse
ewc,3,2,4,rcc,2,0.9611,0.9605,0.0789,0.0596,0.4269,0.9022,76,306.5,can,reverse
ewc,3,2,4,lung,3,0.7633,0.7579,0.0912,0.0824,-0.1572,0.8175,95,308.0,can,reverse
ewc,3,2,4,esca,4,0.875,0.8667,1.0,-0.0,-0.054,0.8393,15,308.2,can,reverse
ewc,3,4,1,brca,1,0.8805,0.9032,1.0,-0.0,0.0821,0.7129,93,154.1,can,reverse
ewc,3,4,2,brca,1,0.8346,0.8925,0.0884,0.0292,0.0436,0.7129,93,295.8,can,reverse
ewc,3,4,2,rcc,2,0.9611,0.9605,1.0,-0.0,0.2112,0.9346,76,298.4,can,reverse
ewc,3,4,3,brca,1,0.8677,0.914,0.1475,0.036,0.0717,0.7129,93,530.5,can,reverse
ewc,3,4,3,rcc,2,0.9342,0.9474,0.169,0.0077,0.1939,0.9346,76,532.8,can,reverse
ewc,3,4,3,lung,3,0.8551,0.8526,1.0,-0.0,0.0296,0.8119,95,535.7,can,reverse
ewc,3,4,4,brca,1,0.776,0.8925,0.1109,0.0411,0.035,0.7129,93,577.3,can,reverse
ewc,3,4,4,rcc,2,0.9157,0.9342,0.1392,0.0195,0.1942,0.9346,76,579.5,can,reverse
ewc,3,4,4,lung,3,0.866,0.8632,0.0662,0.0183,0.0648,0.8119,95,582.3,can,reverse
ewc,3,4,4,esca,4,0.9375,0.9333,1.0,-0.0,0.0354,0.8696,15,582.7,can,reverse
lwf,3,1,1,brca,1,0.9399,0.9355,1.0,0.0,0.4509,0.655,93,50.4,can,reverse
lwf,3,1,2,brca,1,0.9271,0.9462,0.3871,0.0795,0.4245,0.655,93,99.5,can,reverse
lwf,3,1,2,rcc,2,0.9796,0.9737,1.0,0.0,0.9163,0.8657,76,100.3,can,reverse
lwf,3,1,3,brca,1,0.8805,0.9032,0.1828,0.1679,0.3911,0.655,93,160.0,can,reverse
lwf,3,1,3,rcc,2,0.9796,0.9737,0.1316,0.0598,0.906,0.8657,76,160.9,can,reverse
lwf,3,1,3,lung,3,0.8864,0.8842,1.0,-0.0,-0.0184,0.7736,95,161.9,can,reverse
lwf,3,1,4,brca,1,0.7955,0.8925,0.1398,0.186,0.2478,0.655,93,173.1,can,reverse
lwf,3,1,4,rcc,2,0.9305,0.9211,0.0658,0.0507,0.8854,0.8657,76,173.9,can,reverse
lwf,3,1,4,lung,3,0.8871,0.8842,0.4,0.0475,0.1433,0.7736,95,174.9,can,reverse
lwf,3,1,4,esca,4,1.0,1.0,1.0,-0.0,0.6575,0.9339,15,175.0,can,reverse
