method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
ours,3,1,1,esca,1,0.9375,0.9333,1.0,0.0,0.0048,0.9071,15,6.9,can,main
ours,3,1,2,esca,1,0.9286,0.9333,0.2,0.045,0.6106,0.9071,15,69.1,can,main
ours,3,1,2,lung,2,0.8756,0.8737,1.0,-0.0,-0.1014,0.7535,95,69.8,can,main
ours,3,1,3,esca,1,0.9375,0.9333,0.2667,0.0805,0.0226,0.9071,15,119.6,can,main
ours,3,1,3,lung,2,0.7959,0.7895,0.2,0.0763,-0.2183,0.7535,95,120.3,can,main
ours,3,1,3,rcc,3,0.9611,0.9605,1.0,-0.0,0.827,0.8533,76,120.8,can,main
ours,3,1,4,esca,1,0.8661,0.8667,0.2,0.1375,-0.3429,0.9071,15,185.5,can,main
ours,3,1,4,lung,2,0.7959,0.7895,0.1474,0.1106,-0.319,0.7535,95,186.2,can,main
ours,3,1,4,rcc,3,0.9509,0.9474,0.2368,0.0756,0.8278,0.8533,76,186.8,can,main
ours,3,1,4,brca,4,0.9068,0.914,1.0,-0.0,0.3099,0.655,93,187.4,can,main
ours,3,2,1,esca,1,0.9375,0.9333,1.0,0.0,-0.1337,0.825,15,11.1,can,main
ours,3,2,2,esca,1,0.875,0.8667,0.2222,0.0231,-0.043,0.825,15,138.3,can,main
ours,3,2,2,lung,2,0.8429,0.8421,1.0,-0.0,-0.0827,0.7867,95,139.6,can,main
ours,3,2,3,esca,1,0.875,0.8667,0.1778,0.028,-0.0263,0.825,15,237.2,can,main
ours,3,2,3,lung,2,0.8469,0.8421,0.1228,0.0426,-0.1446,0.7867,95,238.7,can,main
ours,3,2,3,rcc,3,0.9611,0.9605,1.0,-0.0,0.4441,0.8825,76,239.7,can,main
ours,3,2,4,esca,1,0.875,0.8667,0.0889,0.0533,-0.0313,0.825,15,363.1,can,main
ours,3,2,4,lung,2,0.8048,0.8,0.0982,0.0589,-0.0728,0.7867,95,364.4,can,main
ours,3,2,4,rcc,3,0.9713,0.9737,0.1754,0.0617,0.398,0.8825,76,365.6,can,main
ours,3,2,4,brca,4,0.8549,0.9247,1.0,-0.0,0.1158,0.7233,93,367.0,can,main
