method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
ours,3,1,1,esca,1,0.9375,0.9333,1.0,0.0,0.0048,0.9071,15,7.5,can,main
ours,3,1,2,esca,1,0.9286,0.9333,0.3333,0.0307,0.6107,0.9071,15,78.8,can,main
ours,3,1,2,lung,2,0.8769,0.8737,1.0,-0.0,-0.1537,0.7535,95,79.6,can,main
ours,3,1,3,esca,1,1.0,1.0,0.2667,0.0693,0.6595,0.9071,15,135.7,can,main
ours,3,1,3,lung,2,0.8463,0.8421,0.4316,0.0369,-0.2797,0.7535,95,136.5,can,main
ours,3,1,3,rcc,3,0.9509,0.9474,1.0,-0.0,0.8117,0.8533,76,137.1,can,main
ours,3,1,4,esca,1,1.0,1.0,0.2667,0.0878,0.6593,0.9071,15,206.0,can,main
ours,3,1,4,lung,2,0.8035,0.8,0.3053,0.0437,-0.2264,0.7535,95,206.8,can,main
ours,3,1,4,rcc,3,0.9796,0.9737,0.4474,0.0126,0.8644,0.8533,76,207.4,can,main
ours,3,1,4,brca,4,0.8933,0.8925,1.0,-0.0,0.2873,0.655,93,208.1,can,main
ours,3,2,1,esca,1,0.9375,0.9333,1.0,0.0,-0.1337,0.825,15,12.1,can,main
ours,3,2,2,esca,1,0.9375,0.9333,0.3778,0.007,-0.0072,0.825,15,146.0,can,main
ours,3,2,2,lung,2,0.8436,0.8421,1.0,-0.0,-0.0727,0.7867,95,147.4,can,main
ours,3,2,3,esca,1,0.9375,0.9333,0.1556,0.0127,0.159,0.825,15,257.3,can,main
ours,3,2,3,lung,2,0.8347,0.8316,0.2596,0.0078,-0.1342,0.7867,95,258.7,can,main
ours,3,2,3,rcc,3,0.9713,0.9737,1.0,-0.0,0.4253,0.8825,76,259.8,can,main
ours,3,2,4,esca,1,0.9375,0.9333,0.1778,0.017,0.2271,0.825,15,390.4,can,main
ours,3,2,4,lung,2,0.8239,0.8211,0.2,0.0132,-0.1014,0.7867,95,391.7,can,main
ours,3,2,4,rcc,3,0.9713,0.9737,0.2018,0.006,0.4385,0.8825,76,392.7,can,main
ours,3,2,4,brca,4,0.9534,0.957,1.0,0.0,0.1897,0.7233,93,393.9,can,main
