method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
ours,4,1,1,esca,1,0.9375,0.9333,1.0,0.0,0.0792,0.7982,15,7.2,can,main
ours,4,1,2,esca,1,0.9375,0.9333,0.2,0.0336,0.0018,0.7982,15,70.7,can,main
ours,4,1,2,lung,2,0.8551,0.8526,1.0,-0.0,0.0164,0.7368,95,71.4,can,main
ours,4,1,3,esca,1,1.0,1.0,0.0,0.0845,0.6297,0.7982,15,123.3,can,main
ours,4,1,3,lung,2,0.866,0.8632,0.5789,0.0338,0.0517,0.7368,95,124.1,can,main
ours,4,1,3,rcc,3,0.9796,0.9737,1.0,0.0,0.8769,0.8931,76,124.6,can,main
ours,4,1,4,esca,1,1.0,1.0,0.0,0.096,0.6175,0.7982,15,190.1,can,main
ours,4,1,4,lung,2,0.8551,0.8526,0.4105,0.0499,-0.0046,0.7368,95,190.8,can,main
ours,4,1,4,rcc,3,0.9796,0.9737,0.3026,0.0222,0.8499,0.8931,76,191.4,can,main
ours,4,1,4,brca,4,0.9008,0.9355,1.0,-0.0,0.4014,0.6746,93,192.2,can,main
ours,4,2,1,esca,1,0.9375,0.9333,1.0,0.0,-0.1368,0.925,15,11.6,can,main
ours,4,2,2,esca,1,0.875,0.8667,0.1778,0.0139,-0.01,0.925,15,135.6,can,main
ours,4,2,2,lung,2,0.8531,0.8526,1.0,-0.0,-0.0257,0.8127,95,137.0,can,main
ours,4,2,3,esca,1,0.9286,0.9333,0.1778,0.0226,0.0384,0.925,15,236.5,can,main
ours,4,2,3,lung,2,0.864,0.8632,0.3088,0.0146,-0.0346,0.8127,95,237.9,can,main
ours,4,2,3,rcc,3,0.9713,0.9737,1.0,-0.0,0.4362,0.9072,76,238.9,can,main
ours,4,2,4,esca,1,0.9375,0.9333,0.0889,0.0381,0.2495,0.925,15,361.6,can,main
ours,4,2,4,lung,2,0.8966,0.8947,0.2246,0.0246,0.0671,0.8127,95,362.9,can,main
ours,4,2,4,rcc,3,0.9528,0.9605,0.1579,0.0117,0.4176,0.9072,76,364.2,can,main
ours,4,2,4,brca,4,0.7955,0.8925,1.0,-0.0,0.047,0.6981,93,365.5,can,main
