method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
ours,0,1,1,esca,1,0.8661,0.8667,1.0,0.0,-0.2336,0.8321,15,7.1,can,main
ours,0,1,2,esca,1,0.8661,0.8667,0.1333,0.0847,-0.6671,0.8321,15,73.6,can,main
ours,0,1,2,lung,2,0.8667,0.8632,1.0,-0.0,-0.0186,0.7707,95,74.3,can,main
ours,0,1,3,esca,1,0.8661,0.8667,0.2667,0.099,-0.5558,0.8321,15,125.8,can,main
ours,0,1,3,lung,2,0.8776,0.8737,0.4,0.0548,0.0402,0.7707,95,126.5,can,main
ours,0,1,3,rcc,3,0.9592,0.9474,1.0,-0.0,0.8476,0.8722,76,127.0,can,main
ours,0,1,4,esca,1,0.8661,0.8667,0.0,0.0899,0.1238,0.8321,15,189.5,can,main
ours,0,1,4,lung,2,0.8673,0.8632,0.3158,0.0912,-0.0079,0.7707,95,190.1,can,main
ours,0,1,4,rcc,3,0.9388,0.9211,0.3026,0.0521,0.796,0.8722,76,190.7,can,main
ours,0,1,4,brca,4,0.7955,0.8925,1.0,-0.0,0.1413,0.6985,93,191.3,can,main
ours,0,2,1,esca,1,0.9375,0.9333,1.0,0.0,0.0259,0.8714,15,11.4,can,main
ours,0,2,2,esca,1,1.0,1.0,0.1333,0.0248,0.327,0.8714,15,135.4,can,main
ours,0,2,2,lung,2,0.8252,0.8211,1.0,0.0,-0.0228,0.8114,95,136.8,can,main
ours,0,2,3,esca,1,0.9375,0.9333,0.0667,0.039,0.1959,0.8714,15,234.7,can,main
ours,0,2,3,lung,2,0.8367,0.8316,0.2211,0.0254,0.0273,0.8114,95,236.1,can,main
ours,0,2,3,rcc,3,0.9611,0.9605,1.0,0.0,0.3815,0.9133,76,237.1,can,main
ours,0,2,4,esca,1,0.8661,0.8667,0.0889,0.0403,-0.2389,0.8714,15,355.1,can,main
ours,0,2,4,lung,2,0.8667,0.8632,0.1298,0.0639,0.0581,0.8114,95,356.7,can,main
ours,0,2,4,rcc,3,0.9611,0.9605,0.136,0.0158,0.4125,0.9133,76,357.8,can,main
ours,0,2,4,brca,4,0.894,0.9247,1.0,-0.0,0.1349,0.7009,93,359.2,can,main
