method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
ours,3,1,1,esca,1,0.9375,0.9333,1.0,0.0,0.0048,0.9071,15,6.6,can,main
ours,3,1,2,esca,1,0.9286,0.9333,0.2,0.045,0.6106,0.9071,15,62.8,can,main
ours,3,1,2,lung,2,0.8756,0.8737,1.0,-0.0,-0.1014,0.7535,95,63.4,can,main
ours,3,1,3,esca,1,0.9286,0.9333,0.2,0.0778,0.4365,0.9071,15,108.9,can,main
ours,3,1,3,lung,2,0.8858,0.8842,0.3474,0.0531,-0.0312,0.7535,95,109.5,can,main
ours,3,1,3,rcc,3,0.9898,0.9868,1.0,-0.0,0.8721,0.8533,76,110.0,can,main
ours,3,1,4,esca,1,1.0,1.0,0.1333,0.1745,0.6617,0.9071,15,167.8,can,main
ours,3,1,4,lung,2,0.8538,0.8526,0.3053,0.0548,-0.0693,0.7535,95,168.3,can,main
ours,3,1,4,rcc,3,0.9509,0.9474,0.3289,0.0318,0.842,0.8533,76,168.8,can,main
ours,3,1,4,brca,4,0.9068,0.914,1.0,-0.0,0.3009,0.655,93,169.3,can,main
ours,3,2,1,esca,1,0.9375,0.9333,1.0,0.0,-0.1337,0.825,15,10.2,can,main
ours,3,2,2,esca,1,0.875,0.8667,0.2,0.0116,0.0718,0.825,15,119.1,can,main
ours,3,2,2,lung,2,0.8429,0.8421,1.0,-0.0,-0.109,0.7867,95,120.2,can,main
ours,3,2,3,esca,1,0.9375,0.9333,0.1333,0.0273,0.0572,0.825,15,206.7,can,main
ours,3,2,3,lung,2,0.8327,0.8316,0.2632,0.0096,-0.1481,0.7867,95,207.8,can,main
ours,3,2,3,rcc,3,0.9713,0.9737,1.0,-0.0,0.4184,0.8825,76,208.8,can,main
ours,3,2,4,esca,1,0.9375,0.9333,0.0889,0.0266,0.1719,0.825,15,316.1,can,main
ours,3,2,4,lung,2,0.8545,0.8526,0.2877,0.0143,-0.0941,0.7867,95,317.2,can,main
ours,3,2,4,rcc,3,0.9713,0.9737,0.1974,0.0075,0.4356,0.8825,76,318.1,can,main
ours,3,2,4,brca,4,0.9271,0.9462,1.0,-0.0,0.1648,0.7233,93,319.2,can,main
