method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
seqft,2,1,1,brca,1,0.9467,0.9462,1.0,-0.0,0.468,0.6286,93,45.0,can,reverse
seqft,2,1,2,brca,1,0.6316,0.8495,0.0538,0.4236,0.3353,0.6286,93,78.7,can,reverse
seqft,2,1,2,rcc,2,0.9407,0.9342,1.0,0.0,0.713,0.8437,76,79.3,can,reverse
seqft,2,1,3,brca,1,0.7301,0.8817,0.086,0.5062,0.3593,0.6286,93,120.4,can,reverse
seqft,2,1,3,rcc,2,0.924,0.9342,0.0789,0.4487,0.803,0.8437,76,121.1,can,reverse
seqft,2,1,3,lung,3,0.8858,0.8842,1.0,-0.0,0.0438,0.7603,95,121.8,can,reverse
seqft,2,1,4,brca,1,0.776,0.8925,0.043,0.3501,0.4347,0.6286,93,129.1,can,reverse
seqft,2,1,4,rcc,2,0.8915,0.8816,0.0263,0.229,0.6657,0.8437,76,129.6,can,reverse
seqft,2,1,4,lung,3,0.8463,0.8421,0.1158,0.3103,0.0565,0.7603,95,130.3,can,reverse
seqft,2,1,4,esca,4,0.9375,0.9333,1.0,0.0,0.0885,0.8536,15,130.4,can,reverse
seqft,2,2,1,brca,1,0.8218,0.9032,1.0,0.0,0.0576,0.7415,93,81.3,can,reverse
seqft,2,2,2,brca,1,0.8218,0.9032,0.1254,0.1182,0.1335,0.7415,93,151.3,can,reverse
seqft,2,2,2,rcc,2,0.9713,0.9737,1.0,-0.0,0.3847,0.8865,76,152.7,can,reverse
seqft,2,2,3,brca,1,0.8218,0.9032,0.2151,0.1491,0.1716,0.7415,93,242.9,can,reverse
seqft,2,2,3,rcc,2,0.9407,0.9342,0.1667,0.1694,0.3686,0.8865,76,244.3,can,reverse
seqft,2,2,3,lung,3,0.8654,0.8632,1.0,-0.0,-0.0241,0.787,95,246.1,can,reverse
seqft,2,2,4,brca,1,0.6835,0.8387,0.1004,0.1847,0.0842,0.7415,93,261.6,can,reverse
seqft,2,2,4,rcc,2,0.8953,0.9079,0.0833,0.0903,0.3503,0.8865,76,263.0,can,reverse
