method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,eps_optimal_mass,normalized_regret,random_ref,n_test,wall_s,requested,torch_version,cuda_available,mps_available,mps_fallback,resolved_device,run_tag,git_commit,hostname,command,dataset,order
seqft,0,1,1,T1_renal,1,0.8333,0.8333,1.0,0.0,-0.4355,0.4737,0.2249,0.4667,6,4.1,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s0,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 0 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s0 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_0 --resume,pilot40,main
seqft,0,1,2,T1_renal,1,0.8333,0.8333,0.1667,0.1152,-0.5017,0.4047,0.2464,0.4667,6,5.3,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s0,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 0 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s0 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_0 --resume,pilot40,main
seqft,0,1,2,T2_breast,2,0.8333,0.8333,1.0,-0.0,0.3097,0.5868,0.1306,0.8333,6,5.3,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s0,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 0 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s0 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_0 --resume,pilot40,main
seqft,0,2,1,T1_renal,1,0.6667,0.6667,1.0,0.0,-0.3682,0.4691,0.2126,0.6,6,2.0,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s0,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 0 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s0 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_0 --resume,pilot40,main
seqft,0,2,2,T1_renal,1,0.6667,0.6667,0.0556,0.0463,-0.4834,0.4498,0.2211,0.6,6,3.9,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s0,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 0 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s0 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_0 --resume,pilot40,main
seqft,0,2,2,T2_breast,2,0.6667,0.6667,1.0,0.0,-0.0688,0.6084,0.123,0.7667,6,4.0,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s0,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 0 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s0 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_0 --resume,pilot40,main
seqft,0,4,1,T1_renal,1,0.8333,0.8333,1.0,0.0,-0.1322,0.3018,0.2372,0.6667,6,3.5,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s0,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 0 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s0 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_0 --resume,pilot40,main
seqft,0,4,2,T1_renal,1,0.6667,0.6667,0.0238,0.0522,-0.2158,0.3085,0.2392,0.6667,6,7.0,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s0,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 0 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s0 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_0 --resume,pilot40,main
seqft,0,4,2,T2_breast,2,0.8333,0.8333,1.0,0.0,-0.0275,0.4609,0.168,0.9333,6,7.1,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s0,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 0 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s0 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_0 --resume,pilot40,main
ewc,0,1,1,T1_renal,1,0.8333,0.8333,1.0,0.0,-0.4355,0.4737,0.2249,0.4667,6,1.2,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s0,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 0 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s0 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_0 --resume,pilot40,main
