method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,eps_optimal_mass,normalized_regret,random_ref,n_test,wall_s,requested,torch_version,cuda_available,mps_available,mps_fallback,resolved_device,run_tag,git_commit,hostname,command,c0_parameter_budget,dataset,order,c0_role
sp_nav,0,2,1,esca,1,0.8661,0.8667,1.0,0.0,-0.0611,0.7282,0.1122,0.8714,15,11.3,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,0,2,2,esca,1,0.9375,0.9333,0.1778,0.0651,0.2086,0.7269,0.1113,0.8714,15,84.5,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,0,2,2,lung,2,0.8769,0.8737,1.0,-0.0,-0.0616,0.6245,0.1417,0.8114,95,85.8,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,0,2,3,esca,1,0.9375,0.9333,0.1778,0.049,0.2572,0.7259,0.1101,0.8714,15,142.4,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,0,2,3,lung,2,0.8341,0.8316,0.0947,0.1099,-0.0071,0.5782,0.1504,0.8114,95,143.4,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,0,2,3,rcc,3,0.9305,0.9211,1.0,-0.0,0.3474,0.8021,0.0771,0.9133,76,144.2,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,0,2,4,esca,1,0.9375,0.9333,0.0222,0.0681,-0.0481,0.6795,0.1297,0.8714,15,216.2,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,0,2,4,lung,2,0.8008,0.8,0.0807,0.1953,0.0675,0.5307,0.1626,0.8114,95,217.2,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,0,2,4,rcc,3,0.8666,0.8816,0.0877,0.0502,0.2643,0.7909,0.0821,0.9133,76,218.0,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,0,2,4,brca,4,0.9203,0.9355,1.0,-0.0,0.1637,0.6764,0.1123,0.7009,93,219.0,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,1,1,1,esca,1,0.875,0.8667,1.0,0.0,-0.1991,0.7425,0.1129,0.8018,15,6.0,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,1,1,2,esca,1,0.9375,0.9333,0.2,0.1909,0.6274,0.8019,0.0868,0.8018,15,47.1,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,1,1,2,lung,2,0.8966,0.8947,1.0,-0.0,0.2498,0.7023,0.1225,0.771,95,47.8,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,1,1,3,esca,1,0.7946,0.8,0.0,0.1418,0.3981,0.7143,0.1176,0.8018,15,79.5,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
