method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,eps_optimal_mass,normalized_regret,random_ref,n_test,wall_s,requested,torch_version,cuda_available,mps_available,mps_fallback,resolved_device,run_tag,git_commit,hostname,command,dataset,order
seqft,2,1,1,T1_renal,1,0.6667,0.6667,1.0,-0.0,-1.3155,0.4806,0.1977,0.5667,6,4.0,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s2,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 2 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s2 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_2 --resume,pilot40,main
seqft,2,1,2,T1_renal,1,0.3333,0.3333,0.0,0.1515,-0.6308,0.4633,0.175,0.5667,6,5.3,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s2,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 2 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s2 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_2 --resume,pilot40,main
seqft,2,1,2,T2_breast,2,0.8333,0.8333,1.0,0.0,0.4993,0.5568,0.136,0.6333,6,5.3,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s2,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 2 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s2 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_2 --resume,pilot40,main
seqft,2,2,1,T1_renal,1,0.5,0.5,1.0,-0.0,-0.8677,0.6243,0.1325,0.6333,6,2.3,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s2,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 2 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s2 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_2 --resume,pilot40,main
seqft,2,2,2,T1_renal,1,0.6667,0.6667,0.0,0.0461,0.005,0.6133,0.1279,0.6333,6,4.5,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s2,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 2 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s2 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_2 --resume,pilot40,main
seqft,2,2,2,T2_breast,2,0.8333,0.8333,1.0,0.0,0.1114,0.5601,0.1267,0.7333,6,4.5,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s2,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 2 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s2 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_2 --resume,pilot40,main
seqft,2,4,1,T1_renal,1,0.3333,0.3333,1.0,-0.0,-0.6058,0.6239,0.1038,0.6667,6,3.2,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s2,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 2 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s2 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_2 --resume,pilot40,main
seqft,2,4,2,T1_renal,1,0.5,0.5,0.0238,0.0235,0.0079,0.6266,0.1,0.6667,6,6.2,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s2,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 2 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s2 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_2 --resume,pilot40,main
seqft,2,4,2,T2_breast,2,0.6667,0.6667,1.0,-0.0,0.1205,0.4366,0.1636,0.6333,6,6.2,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s2,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 2 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s2 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_2 --resume,pilot40,main
ewc,2,1,1,T1_renal,1,0.6667,0.6667,1.0,-0.0,-1.3155,0.4806,0.1977,0.5667,6,1.1,auto,2.4.1+cu124,True,False,1,cuda,v2_pilot40_main_cuda_20260815T122732Z_main_s2,09a3ac4551c0efe1421f6eab51caeb2def2c7eed,1f523c46ed83,scripts/cl_main.py --dataset pilot40 --order main --seeds 2 --tag v2_pilot40_main_cuda_20260815T122732Z_main_s2 --device auto --output-dir /workspace/mllm_hwsi_ah/runs/v2/v2_pilot40_main_cuda_20260815T122732Z/results/main/seed_2 --resume,pilot40,main
