method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,eps_optimal_mass,normalized_regret,random_ref,n_test,wall_s,requested,torch_version,cuda_available,mps_available,mps_fallback,resolved_device,run_tag,git_commit,hostname,command,dataset,order,gate_v2_role
eq_pres,3,2,4,lung,2,0.8259,0.8211,0.0842,0.0977,-0.0207,0.6599,0.1352,0.7867,95,352.1,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,3,2,4,rcc,3,0.9528,0.9605,0.1579,0.0669,0.4093,0.7885,0.0757,0.8825,76,352.8,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,3,2,4,brca,4,0.9008,0.9355,1.0,-0.0,0.1536,0.6126,0.1326,0.7233,93,353.8,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,3,4,1,esca,1,0.875,0.8667,1.0,0.0,-0.0883,0.7484,0.1068,0.8839,15,16.5,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,3,4,2,esca,1,0.875,0.8667,0.2451,0.1087,-0.1423,0.7982,0.0859,0.8839,15,239.3,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,3,4,2,lung,2,0.8341,0.8316,1.0,0.0,-0.0082,0.6617,0.1206,0.8219,95,241.2,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,3,4,3,esca,1,0.9375,0.9333,0.1448,0.0955,0.1558,0.7947,0.0895,0.8839,15,450.0,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,3,4,3,lung,2,0.8041,0.8,0.1499,0.0612,-0.0883,0.6675,0.1209,0.8219,95,452.1,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,3,4,3,rcc,3,0.9815,0.9868,1.0,-0.0,0.2129,0.7455,0.0928,0.9367,76,454.0,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,3,4,4,esca,1,0.9375,0.9333,0.1816,0.0825,0.047,0.7877,0.0921,0.8839,15,705.6,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,3,4,4,lung,2,0.8558,0.8526,0.1697,0.0688,0.0038,0.6692,0.1198,0.8219,95,708.0,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,3,4,4,rcc,3,0.9713,0.9737,0.1617,0.0199,0.1944,0.755,0.0899,0.9367,76,709.8,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,3,4,4,brca,4,0.8083,0.8817,1.0,-0.0,0.0368,0.6461,0.1241,0.7381,93,712.1,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,4,1,1,esca,1,0.9375,0.9333,1.0,0.0,0.0792,0.763,0.1006,0.7982,15,7.8,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,4,1,2,esca,1,0.9375,0.9333,0.0667,0.1509,0.0761,0.8207,0.085,0.7982,15,84.3,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,4,1,2,lung,2,0.8558,0.8526,1.0,-0.0,0.0138,0.6835,0.1381,0.7368,95,85.0,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,4,1,3,esca,1,0.9375,0.9333,0.1333,0.2361,0.2138,0.8413,0.0767,0.7982,15,142.9,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,4,1,3,lung,2,0.8347,0.8316,0.3368,0.1261,-0.0338,0.7168,0.1382,0.7368,95,143.6,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
