method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,requested,torch_version,cuda_available,mps_available,mps_fallback,resolved_device,run_tag,dataset,order
seqft,0,1,1,esca,1,1.0,1.0,1.0,0.0,0.6391,0.7667,12,0.6,cpu,2.12.0,False,True,1,cpu,smoke_cpu_20260814_222232,can,main
seqft,0,1,2,esca,1,1.0,1.0,0.25,0.2295,0.5459,0.7667,12,0.7,cpu,2.12.0,False,True,1,cpu,smoke_cpu_20260814_222232,can,main
seqft,0,1,2,lung,2,0.8333,0.8333,1.0,0.0,0.2283,0.6167,12,0.7,cpu,2.12.0,False,True,1,cpu,smoke_cpu_20260814_222232,can,main
ours,0,1,1,esca,1,1.0,1.0,1.0,0.0,0.6391,0.7667,12,0.1,cpu,2.12.0,False,True,1,cpu,smoke_cpu_20260814_222232,can,main
ours,0,1,2,esca,1,1.0,1.0,0.5,0.0453,0.6418,0.7667,12,0.2,cpu,2.12.0,False,True,1,cpu,smoke_cpu_20260814_222232,can,main
ours,0,1,2,lung,2,0.8333,0.8333,1.0,-0.0,0.2167,0.6167,12,0.2,cpu,2.12.0,False,True,1,cpu,smoke_cpu_20260814_222232,can,main
