method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,eps_optimal_mass,normalized_regret,random_ref,n_test,wall_s,requested,torch_version,cuda_available,mps_available,mps_fallback,resolved_device,run_tag,dataset,order
distill,0,1,4,lung,2,0.8673,0.8632,0.4,0.0516,0.0578,0.7117,0.1282,0.7707,95,237.1,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,0,1,4,rcc,3,0.9407,0.9342,0.3421,0.0362,0.7993,0.8157,0.0735,0.8722,76,237.8,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,0,1,4,brca,4,0.7955,0.8925,1.0,-0.0,0.1657,0.7393,0.1039,0.6985,93,238.4,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,0,2,1,esca,1,0.9375,0.9333,1.0,0.0,0.0259,0.7337,0.1108,0.8714,15,14.5,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,0,2,2,esca,1,0.9375,0.9333,0.1778,0.015,0.0077,0.7375,0.1089,0.8714,15,171.8,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,0,2,2,lung,2,0.8361,0.8316,1.0,-0.0,-0.0333,0.6178,0.1415,0.8114,95,172.9,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,0,2,3,esca,1,0.9375,0.9333,0.2222,0.017,0.062,0.7349,0.1097,0.8714,15,298.0,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,0,2,3,lung,2,0.8463,0.8421,0.2632,0.0116,0.0259,0.6091,0.1452,0.8114,95,299.3,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,0,2,3,rcc,3,0.9407,0.9342,1.0,-0.0,0.3658,0.8034,0.0766,0.9133,76,300.2,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,0,2,4,esca,1,0.9375,0.9333,0.1333,0.0214,0.1809,0.7281,0.1104,0.8714,15,452.8,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,0,2,4,lung,2,0.8776,0.8737,0.193,0.0172,0.0096,0.6103,0.1441,0.8114,95,454.0,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,0,2,4,rcc,3,0.9407,0.9342,0.2061,0.0128,0.3712,0.8139,0.0719,0.9133,76,455.0,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,0,2,4,brca,4,0.9008,0.9355,1.0,-0.0,0.1512,0.6602,0.1178,0.7009,93,456.2,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,1,1,1,esca,1,0.875,0.8667,1.0,-0.0,-0.3416,0.7714,0.105,0.8018,15,7.7,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,1,1,2,esca,1,0.9375,0.9333,0.0667,0.0558,-0.2704,0.7859,0.0986,0.8018,15,97.7,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,1,1,2,lung,2,0.8864,0.8842,1.0,-0.0,0.1907,0.6933,0.1274,0.771,95,98.3,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,1,1,3,esca,1,0.875,0.8667,0.0667,0.0565,-0.3849,0.7882,0.0992,0.8018,15,169.9,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,1,1,3,lung,2,0.8551,0.8526,0.3895,0.0504,0.0573,0.6788,0.1331,0.771,95,170.6,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,1,1,3,rcc,3,0.9713,0.9737,1.0,-0.0,0.87,0.824,0.0683,0.9035,76,171.1,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,1,1,4,esca,1,0.9375,0.9333,0.2,0.1034,-0.2161,0.7607,0.1059,0.8018,15,259.7,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,1,1,4,lung,2,0.898,0.8947,0.2211,0.0761,0.2112,0.6804,0.1341,0.771,95,260.3,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,1,1,4,rcc,3,0.9407,0.9342,0.4342,0.0391,0.817,0.8128,0.0724,0.9035,76,260.8,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,1,1,4,brca,4,0.8023,0.9032,1.0,-0.0,0.1876,0.6426,0.1396,0.68,93,261.4,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,1,2,1,esca,1,1.0,1.0,1.0,0.0,0.3363,0.7242,0.1154,0.8464,15,8.9,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,1,2,2,esca,1,0.8661,0.8667,0.1111,0.0271,-0.2063,0.7411,0.1093,0.8464,15,116.8,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,1,2,2,lung,2,0.8538,0.8526,1.0,-0.0,0.0714,0.5791,0.1477,0.7828,95,118.1,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,1,2,3,esca,1,0.9375,0.9333,0.1556,0.035,-0.0164,0.7471,0.1089,0.8464,15,204.5,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,1,2,3,lung,2,0.8456,0.8421,0.214,0.028,0.011,0.5668,0.1543,0.7828,95,205.5,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,1,2,3,rcc,3,0.9713,0.9737,1.0,-0.0,0.4186,0.758,0.0878,0.8859,76,206.3,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,1,2,4,esca,1,0.9375,0.9333,0.0889,0.0583,-0.0315,0.7455,0.1086,0.8464,15,310.9,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,1,2,4,lung,2,0.7933,0.7895,0.1895,0.0393,-0.0179,0.5667,0.1553,0.7828,95,311.9,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,1,2,4,rcc,3,0.9324,0.9342,0.2412,0.0189,0.4104,0.7755,0.0809,0.8859,76,312.7,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,1,2,4,brca,4,0.894,0.9247,1.0,-0.0,0.1307,0.629,0.1278,0.7008,93,313.7,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,1,1,1,esca,1,0.875,0.8667,1.0,-0.0,-0.3416,0.7714,0.105,0.8018,15,5.3,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,1,1,2,esca,1,0.9375,0.9333,0.1333,0.063,-0.2699,0.7693,0.1086,0.8018,15,59.8,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,1,1,2,lung,2,0.8858,0.8842,1.0,-0.0,0.1663,0.6897,0.1284,0.771,95,60.3,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,1,1,3,esca,1,0.9375,0.9333,0.4667,0.0653,-0.17,0.7674,0.1053,0.8018,15,101.8,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,1,1,3,lung,2,0.8647,0.8632,0.5684,0.0412,0.1327,0.6821,0.1271,0.771,95,102.3,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,1,1,3,rcc,3,0.9509,0.9474,1.0,-0.0,0.8456,0.8306,0.0675,0.9035,76,102.7,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,1,1,4,esca,1,0.8661,0.8667,0.1333,0.1193,-0.0284,0.7405,0.1131,0.8018,15,154.2,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,1,1,4,lung,2,0.8762,0.8737,0.5368,0.0603,0.1548,0.669,0.1314,0.771,95,154.8,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,1,1,4,rcc,3,0.9611,0.9605,0.3947,0.0357,0.8618,0.8167,0.0717,0.9035,76,155.2,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,1,1,4,brca,4,0.776,0.8925,1.0,-0.0,0.1953,0.665,0.1328,0.68,93,155.7,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,1,2,1,esca,1,1.0,1.0,1.0,0.0,0.3363,0.7242,0.1154,0.8464,15,9.2,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,1,2,2,esca,1,0.8661,0.8667,0.2889,0.0156,-0.3314,0.7262,0.1148,0.8464,15,108.3,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,1,2,2,lung,2,0.8762,0.8737,1.0,-0.0,0.105,0.5794,0.148,0.7828,95,109.4,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,1,2,3,esca,1,0.8661,0.8667,0.1111,0.0135,0.0177,0.7227,0.1158,0.8464,15,190.6,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,1,2,3,lung,2,0.8749,0.8737,0.3193,0.016,0.0862,0.5713,0.1521,0.7828,95,191.7,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
